nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Teléfono,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Lavadero,Garaje,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Adaptado a personas con movilidad reducida,Balcón,Terraza,Jardín,Piscina,Orientación,Soleado,No se aceptan mascotas,Amueblado,Trastero,Superficie solar,Se aceptan mascotas,Chimenea,Gastos de comunidad,Agua,Gas,Luz,Interior,Urbanizado,Calle alumbrada,Calle asfaltada,Tipo de casa
Piso en Avinguda Diagonal,AVENIR Artesanos Inmobiliarios,17 €/m²,1.680 €/mes,96 m²,https://www.pisos.com/alquilar/piso-la_sagrada_familia08013-51696351761_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona,96 m²,86 m²,3,2,Bajo,,Más de 50 años,,SA1084-AVDIATRAM/1517,,,Tarima maciza,,,,N/A,Gas natural,,,,,,,,N/A,,,,,,Suroeste,,,,,,,,Más de 100 €,,,,,,,,
Piso en Passatge de la Pau,Urbane International Real estate,21 €/m²,2.250 €/mes,106 m²,https://www.pisos.com/alquilar/piso-el_barri_gotic08002-49262421085_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,106 m²,100 m²,2,1,3ª,N/A,,,EP974-3700,,,,,,,Frío y calor,Eléctrica,,,,,,,N/A,N/A,,,,,,Suroeste,,,N/A,,,,,,N/A,,,,,,,
"Piso en Travessera de Dalt, 55",SmartMove,51 €/m²,5.400 €/mes,105 m²,https://www.pisos.com/alquilar/piso-gracia_la_salut08024-48425028924_513606/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,105 m²,105 m²,3,2,3ª,N/A,,En buen estado,4513606-Citylight Residence,,,Parquet,,,,aerotermia,aerotermia,N/A,N/A,,,,,,N/A,,,N/A,,,Sureste,N/A,,N/A,,,,,,,N/A,,,,,,
Piso en calle Riera,INMODERNA GSI,13 €/m²,1.500 €/mes,109 m²,https://www.pisos.com/alquilar/piso-arenys_de_mar_centro_urbano-46762937936_101300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,109 m²,87 m²,3,2,,,Más de 50 años,,API222-AARERIE184,,,,,,,,N/A,,,N/A,,,,,N/A,,,,,N/A,Sur,,,N/A,,,,,,,,,,,,,
Piso en Nord-El Sucre-Universitat,2005 IMMO JORCAN,8 €/m²,900 €/mes,107 m²,https://www.pisos.com/alquilar/piso-nord_el_sucre_universitat08500-46746049286_101300/,Anuncio actualizado el 20/02/2025,"F, G","F, G",barcelona,107 m²,98 m²,4,2,,,Entre 30 y 50 años,,API158-PVICDE 652,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Riera,INMODERNA GSI,12 €/m²,1.400 €/mes,109 m²,https://www.pisos.com/alquilar/piso-arenys_de_mar_centro_urbano-49210281830_101300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,109 m²,87 m²,3,2,,,Más de 50 años,,API222-AG3252404_003649-83,,,,,,,,N/A,,,N/A,,,,,N/A,,,,,N/A,Sur,,,N/A,,,,,,,,,,,,,
"Piso en calle Cases Noves del Collet, nº 5",INMOGLOBAL BCN,7 €/m²,490 €/mes,67 m²,https://www.pisos.com/alquilar/piso-guardiola_de_bergueda_centro_urbano-50866209610_106700/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,67 m²,61 m²,2,1,,,,,IFC75924-PIS_702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dúplex en Carrer de Manlleu, 8",FINQUES BACH -Assessors Immobiliaris-,8 €/m²,980 €/mes,115 m²,https://www.pisos.com/alquilar/duplex-vic_centre_historic-48390232662_213400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,115 m²,110 m²,3,2,3ª,N/A,Menos de 5 años,A estrenar,2134-3604_D,,,Parquet,N/A,Madera,,,Gas natural,N/A,N/A,N/A,,N/A,,,,,N/A,,,,Sur,N/A,,,,,N/A,,,,,,,,,,
Piso en Caputxins-Santa Clara-Hospital,2005 IMMO JORCAN,13 €/m²,1.200 €/mes,88 m²,https://www.pisos.com/alquilar/piso-caputxins_santa_clara_hospital-50009782490_101300/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona,88 m²,74 m²,4,1,,,Más de 50 años,,API158-PVICDE 680,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Centre - Colomeres- Rambla,"ALQUILER SEGURO,S.A.",12 €/m²,1.290 €/mes,107 m²,https://www.pisos.com/alquilar/piso-centre_zona_estacio_passeig_de_joan_maragall-50041727320_108900/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,107 m²,,4,2,1ª,N/A,,En buen estado,XA24-0820-004966,N/A,,,,,,N/A,N/A,N/A,N/A,,N/A,,,,,,,N/A,,,,,,,,,,,,N/A,N/A,N/A,,,,,
Piso en Caneletes-Turonet,GESFIME,10 €/m²,1.250 €/mes,115 m²,https://www.pisos.com/alquilar/piso-canaletes_turonet-50046328619_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,115 m²,95 m²,4,2,Bajo,,,,SA892-8117/4521,,,,,,,N/A,N/A,,,,,,,,,,,,,,Noreste,,,,,,,,,N/A,,,,,,,
Piso en Carrer de Gravina,RS GROUP,44 €/m²,3.350 €/mes,75 m²,https://www.pisos.com/alquilar/piso-el_raval08001-11714560054_515865/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona,75 m²,70 m²,2,3,2ª,N/A,,A estrenar,515865-RS5038,2,N/A,Gres,N/A,Madera,,Frío y calor,Eléctrica,N/A,N/A,,,N/A,,N/A,N/A,,N/A,,,,,N/A,,N/A,,,,,,,,,N/A,,,,
Estudio en Carrer de Ferran,RS GROUP,18 €/m²,850 €/mes,45 m²,https://www.pisos.com/alquilar/estudio-el_barri_gotic08002-48419063010_515865/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona,45 m²,40 m²,1,1,1ª,N/A,,En buen estado,515865-Rs6921,1,N/A,,N/A,,,,Eléctrica,N/A,N/A,,,,,,,,N/A,,,,Sur,N/A,,N/A,,,,,,,,,N/A,,,,
Piso en Nord-El Sucre-Universitat,SERVEIS IMMOBILIARIS MIREIA BRUN,7 €/m²,980 €/mes,126 m²,https://www.pisos.com/alquilar/piso-nord_el_sucre_universitat08500-45842011713_101300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,126 m²,116 m²,3,2,,,,,API94-100501,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Carrer de Jaume Balmes,RS GROUP,7 €/m²,7.600 €/mes,1.000 m²,https://www.pisos.com/alquilar/chalet-cabrils_centro_urbano-33342423139_515865/,Anuncio actualizado el 20/02/2025,"C, D","C, D",barcelona,1.000 m²,609 m²,6,7,,,Entre 10 y 20 años,En buen estado,515865-RS6664,Más de 2,,Mármol,N/A,Aluminio,,Frío,Gas natural,Office con isla,Con chimenea y salida a terraza,N/A,Más de 2,,N/A,N/A,,N/A,,N/A,Privado,Propia,A 4 vientos,,,N/A,,1.000 m²,,N/A,,,N/A,,,N/A,N/A,N/A,
Chalet en Carrer de la Font de Cabrera,RS GROUP,11 €/m²,4.000 €/mes,360 m²,https://www.pisos.com/alquilar/chalet-cabrils_centro_urbano-44167767066_515865/,Anuncio actualizado el 20/02/2025,"C, D","C, D",barcelona,360 m²,350 m²,4,4,,,Entre 10 y 20 años,En buen estado,515865-RS6880,Más de 2,,Mármol,N/A,Aluminio,,Frío,Gas natural,Office con isla,Con chimenea y salida a terraza,N/A,Más de 2,,N/A,N/A,,N/A,,N/A,Privado,Propia,A 4 vientos,,,N/A,,500 m²,,N/A,,,N/A,,,N/A,N/A,N/A,
Loft en Centre,GP CASA VILASSAR,17 €/m²,925 €/mes,53 m²,https://www.pisos.com/alquilar/loft-mataro_centre-26694048269_517277/,Anuncio actualizado el 14/02/2025,"D, D","D, D",barcelona,53 m²,50 m²,1,1,3ª,,Más de 50 años,Reformado,4517277-GP775,,,,,,,Frío y calor,Eléctrica,Integrada pieza general,,,,,N/A,,,,,,,,,,,,,,,,,,,,N/A,,,,
"Piso en Ronda de Sant Antoni, 44",BADI PLUS,26 €/m²,1.875 €/mes,70 m²,https://www.pisos.com/alquilar/piso-el_raval08001-46739664774_100500/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,70 m²,65 m²,1,1,3ª,N/A,,En buen estado,SA5480-Calders,1,,,,,,N/A,Central,N/A,,,,,,,N/A,,,,,,Oeste,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer del Rosselló,RUSTIC CORNER,32 €/m²,1.600 €/mes,50 m²,https://www.pisos.com/alquilar/piso-la_nova_esquerra_de_eixample08029-50859188140_148700/,Anuncio actualizado el 20/02/2025,"F, E","F, E",barcelona,50 m²,50 m²,2,1,3ª,,Más de 50 años,A estrenar,1487-003073,2,,Parquet,,Aluminio,,Frío y calor,Gas natural,N/A,N/A,,,N/A,N/A,,N/A,,N/A,,,,A la montaña,,,,,,,,,,Gas natural,,,,,,
Ático en Pedralbes,VIP PISOS,20 €/m²,8.900 €/mes,438 m²,https://www.pisos.com/alquilar/atico-pedralbes08034-29265766541_141200/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,438 m²,350 m²,6,4,5ª,,,Reformado,1412-002542,Todas las estancias tienen armarios empotrados,N/A,Parquet,N/A,PVC,,Frío y calor,N/A,Cocina completa con comedor,Salón comedor con zona de estar y gran salón,Lavadero y zona de servicio,1,N/A,N/A,N/A,N/A,N/A,N/A,138 m²,Comunitario,Comunitaria,Sureste,N/A,,N/A,N/A,,,,,,,,,,,,
Piso en Carrer de Balmes,OAK PROPERTIES,22 €/m²,2.200 €/mes,100 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08007-41681898097_522145/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,100 m²,85 m²,3,2,3ª,N/A,,En buen estado,522145-Arias,,N/A,Parquet,N/A,,,Frío y calor,Eléctrica,N/A,N/A,N/A,,N/A,N/A,,N/A,,N/A,N/A,,,Sureste,N/A,,,,,,N/A,,,N/A,,N/A,,,,
Piso en Carrer de Sant Joan,LOFT aicat N° 2696,13 €/m²,2.200 €/mes,158 m²,https://www.pisos.com/alquilar/piso-sant_feliu_de_codines_centro_urbano-45892243286_225100/,Anuncio actualizado el 19/02/2025,"D, D","D, D",barcelona,158 m²,140 m²,4,2,1ª,N/A,Más de 50 años,En buen estado,2251-001704,Más de 2,N/A,Gres,N/A,Madera,,,Gas natural,N/A,N/A,,1,N/A,,N/A,,,,N/A,,,Sureste,N/A,,N/A,,,N/A,N/A,,,,,,,,,
Casa en Rambla del Jardí,SUSANA REVERTE,11 €/m²,4.500 €/mes,385 m²,https://www.pisos.com/alquilar/casa-sant_cugat_del_valles_valldoreix08197-50872208513_437300/,Anuncio actualizado el 20/02/2025,"D, D","D, D",barcelona,385 m²,335 m²,6,6,,,Más de 50 años,En buen estado,4373-2570659,2,Madera esmaltada en blanco,Parquet,N/A,Aluminio,,Frío,Gas natural,N/A,N/A,N/A,1,,,N/A,,,,N/A,Privado,Propia,Sur-oeste,,,,,602 m²,,,,,N/A,,,N/A,N/A,N/A,
Piso en Carrer de la Mercè,MARCOVE,22 €/m²,1.400 €/mes,63 m²,https://www.pisos.com/alquilar/piso-el_barri_gotic08002-32569174839_108900/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,63 m²,54 m²,1,1,1ª,N/A,,,XA755-490,,,,,,,N/A,N/A,,,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer d'Aribau,Sarria Properties,19 €/m²,3.300 €/mes,172 m²,https://www.pisos.com/alquilar/piso-sant_gervasi_galvany08006-49254780506_100500/,Anuncio actualizado el 13/01/2025,"D, D","D, D",barcelona,172 m²,160 m²,4,2,9ª,,Más de 50 años,,SA3248-SPA574/8414,1,,,,,,,N/A,,,,,,,,N/A,,N/A,N/A,,,Noroeste,,,,,,,N/A,,N/A,,,,,,,
"Casa en Carrer Josep Irla, 38",FINQUES FERRER CUBELLES,23 €/m²,1.900 €,81 m²,https://www.pisos.com/alquilar/casa-les_salines_clot_del_basso_mota_de_sant_pere-647720561_500754/,Anuncio actualizado el 17/02/2025,"E, E","E, E",barcelona,81 m²,81 m²,3,3,,,Entre 10 y 20 años,En buen estado,500754-125171,Sin especificar,,Gres,,Aluminio,,,Sin especificar,Lvj nuevo,N/A,,,,,,,,,N/A,N/A,Sin especificar,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer Nou,finques igualada,7 €/m²,750 €/mes,105 m²,https://www.pisos.com/alquilar/piso-igualada_centre-30878047391_100500/,Anuncio actualizado el 20/02/2025,"E, F","E, F",barcelona,105 m²,90 m²,3,1,2ª,,Entre 5 y 10 años,,SA1184-FP19917/2067,,,Parquet,,,N/A,,Gas natural,,N/A,,,,N/A,,,,N/A,N/A,,,Norte,,,,,,,,Entre 40 y 60 €,N/A,,,,,,,
Piso en Carrer de Tuset,Grabig,17 €/m²,2.050 €/mes,114 m²,https://www.pisos.com/alquilar/piso-sant_gervasi_galvany08006-51709473321_511630/,Anuncio actualizado el 19/02/2025,"G, E","G, E",barcelona,114 m²,102 m²,3,2,4ª,N/A,Más de 50 años,En buen estado,511630-000330,Más de 2,,Terrazo,,Madera,,Frío y calor,Central,Totalmente equipada,Amueblado,Totalmente equipado,,N/A,N/A,,N/A,,,N/A,,,Noreste,N/A,N/A,Completamente amueblado,,,,,,,,,,,,,
"Piso en Carrer de la Mare de Déu de Lorda, 50",SmartMove,23 €/m²,1.500 €/mes,65 m²,https://www.pisos.com/alquilar/piso-la_trinitat_vella08033-51720888206_513606/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,65 m²,65 m²,2,1,1ª,N/A,,En buen estado,4513606-Living in Soho Luxury 1,,,Parquet,,,,Frío y calor,Gas natural,N/A,N/A,,,,,,N/A,,,,,,Suroeste,N/A,,N/A,,,,,,,N/A,,,,,,
Piso en Carrer de Jaume Balmes,INMOBILIARIA  ESTEVE BRACHS,10 €/m²,2.400 €/mes,240 m²,https://www.pisos.com/alquilar/piso-instituts_ponent08401-51688504649_110400/,Anuncio actualizado el 19/02/2025,"D, D","D, D",barcelona,240 m²,200 m²,6,3,1ª,,,En buen estado,1104-000102,,,Parquet,,Aluminio,,Frío y calor,Gas natural,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,N/A,,,,,,,,,,,,,,,
Piso en Plaça d'Urquinaona,SINGULAR PROPERTIES,20 €/m²,4.500 €/mes,225 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08010-50834377450_100500/,Anuncio actualizado el 19/02/2025,"D, D","D, D",barcelona,225 m²,,4,5,Bajo,,,,SA2030-SP436JO/2237,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Viladomat,BARCINO JURIDIC,21 €/m²,1.700 €/mes,78 m²,https://www.pisos.com/alquilar/piso-eixample_sant_antoni08015-51706758836_101800/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,78 m²,,3,2,Entresuelo,,Más de 50 años,,IF6819-Viladomat,1,,,,,,,Central,N/A,,N/A,,,,,N/A,,,,,,,,,N/A,N/A,,,,,,,,,,,,
"Piso en Carrer del Carme, 16",ICON REAL ESTATE,Error al procesar precio m²,A consultar,120 m²,https://www.pisos.com/alquilar/piso-el_raval08001-51747891433_528770/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,120 m²,115 m²,4,2,1ª,N/A,Más de 50 años,En buen estado,528770-000075,,,Parquet,N/A,Aluminio,,Frío y calor,Eléctrica,N/A,N/A,,,,,,,,N/A,,,,Sureste,N/A,,N/A,,,,,,,,,,,,,
Piso en Carrer d'Avinyó,VALDONAIRE SERVICIOS INMOBILIARIOS SL,18 €/m²,1.950 €/mes,104 m²,https://www.pisos.com/alquilar/piso-el_barri_gotic08002-47583121163_528397/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona,104 m²,99 m²,2,1,1ª,N/A,,En buen estado,4528397-000012,,N/A,,,Madera,,Frío y calor,,N/A,N/A,,,N/A,N/A,,N/A,,N/A,,,,,,,N/A,,,,,,,,,,,,,
Piso en Rambla de Sant Jordi,IHGest,32 €/m²,1.600 €/mes,50 m²,https://www.pisos.com/alquilar/piso-ripollet_centre-40931007811_525162/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,50 m²,42 m²,3,1,3ª,,,En buen estado,"4525162-Rambla sant Jordi, Ripollet",,,,,,,,Gas natural,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,
Piso en Ronda de Sant Antoni,Urbane International Real estate,24 €/m²,1.300 €/mes,54 m²,https://www.pisos.com/alquilar/piso-eixample_sant_antoni08011-51694749512_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,54 m²,,1,1,4ª,N/A,,En buen estado,EP974-2496,,,,,,,Frío y calor,Eléctrica,N/A,,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,,
"Piso en Avinguda de Madrid, 110",Cotown Sharing Life SL,38 €/m²,2.394 €/mes,62 m²,https://www.pisos.com/alquilar/piso-sants_badal-50910931218_524075/,Anuncio actualizado el 29/01/2025,"E, E","E, E",barcelona,62 m²,53 m²,2,2,Bajo,N/A,,Reformado,4524075-1,,,,,,,Frío y calor,,N/A,N/A,N/A,,,,,N/A,,N/A,,,,,,N/A,,,,,,,,,,,,,,
Ático en Carrer de Josep Bertrand,DCANO Real Estate Agency,39 €/m²,7.590 €/mes,190 m²,https://www.pisos.com/alquilar/atico-sant_gervasi_galvany08021-51681568504_100500/,Anuncio actualizado el 18/02/2025,"D, D","D, D",barcelona,190 m²,178 m²,3,3,8ª,,Más de 50 años,,SA5856-DC226/9085,1,,Parquet,,,N/A,N/A,Gas natural,,,,1,,N/A,,N/A,,N/A,N/A,,,Sur,,,N/A,N/A,,,N/A,,N/A,,,,,,,
"Piso en Carrer de Jerusalem, 32",LOS PISOS DE INES,26 €/m²,1.200 €/mes,46 m²,https://www.pisos.com/alquilar/piso-el_raval08001-51734979373_100500/,Anuncio actualizado el 07/02/2025,"D, D","D, D",barcelona,46 m²,45 m²,1,1,4ª,N/A,,En buen estado,SA2748-jerusalem 1/1.34,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,N/A,,,N/A,N/A,,,,,,,,,,,,,
Piso en Carrer de Casanova,GEINBAR,24 €/m²,2.100 €/mes,85 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08036-48362312946_100500/,Anuncio actualizado el 01/02/2025,"G, G","G, G",barcelona,85 m²,82 m²,3,1,Bajo,,,,SA1922-GAME067/7240,,,,,,,,Eléctrica,,,,,,,,N/A,,N/A,,,,Sur,,,N/A,,,,,,N/A,,,,,,,
Loft en Baixada de Santa Clara,AVENIR Artesanos Inmobiliarios,24 €/m²,995 €/mes,40 m²,https://www.pisos.com/alquilar/loft-el_barri_gotic08002-35901212998_100500/,Anuncio actualizado el 19/02/2025,"G, E","G, E",barcelona,40 m²,35 m²,1,1,3ª,,Más de 50 años,,SA1084-AV-SC4/1517,,,,,,,N/A,N/A,,N/A,,,,,,,,N/A,,,,Oeste,,,N/A,,,,,,N/A,,,,,,,
Casa en Quint Mar,PREMIUM HOUSES SITGES,13 €/m²,3.900 €/mes,289 m²,https://www.pisos.com/alquilar/casa-llevantina_montgavina_quint_mar_garraf08870-50057155975_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",barcelona,289 m²,230 m²,6,4,,,Entre 20 y 30 años,,SA1988-PHS100987/7088_A,,,Parquet,,,N/A,N/A,Gas natural,,N/A,,1,,N/A,,,,,,N/A,Propia,Norte,,,,N/A,912 m²,,N/A,,N/A,,,,,,,
Ático en Passeig Marítim de les Botigues,Konectas.com,55 €/m²,7.200 €/mes,130 m²,https://www.pisos.com/alquilar/atico-les_botigues_de_sitges-48370209021_100500/,Anuncio actualizado el 17/02/2025,"B, C","B, C",barcelona,130 m²,110 m²,3,2,4ª,,Entre 30 y 50 años,,SA5251-KON06311/2837,1,,Parquet,,,,N/A,Central,,,,,,,,N/A,,,N/A,N/A,Comunitaria,Sur,,,N/A,,,,,,,,,,,,,
Piso en Carrer de l'Equador,M TORNÉ REAL ESTATE,32 €/m²,2.900 €/mes,90 m²,https://www.pisos.com/alquilar/piso-les_corts_barrio08029-47559366790_100500/,Anuncio actualizado el 14/02/2025,"B, A","B, A",barcelona,90 m²,85 m²,2,2,4ª,N/A,Menos de 5 años,A estrenar,SA5248-MT -ALQTEMP 1 BIS,1,,Parquet,N/A,,,Frío,,Cocina americana,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,,,Sureste,N/A,,N/A,,,,,,,,,,,,,
Ático en Carrer d'En Gignàs,KamarAljarafe,27 €/m²,2.700 €/mes,100 m²,https://www.pisos.com/alquilar/atico-el_barri_gotic08002-50918630559_523453/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,100 m²,95 m²,3,1,Bajo,N/A,Más de 50 años,Reformado,4523453-123581736,,,Parquet,,PVC,,Frío y calor,Eléctrica,,,,,,,,N/A,,N/A,,,,Sureste,N/A,,N/A,,,,,,,,,,,,,
