luz,jardin,sistema_de_seguridad,conservacion,vidrios_dobles,se_aceptan_mascotas,timestamp,carpinteria_interior,calefaccion,trastero,href,calle_asfaltada,tipo_de_casa,cocina_equipada,agua,emisiones,aire_acondicionado,terraza,armarios_empotrados,actualizacion,superficie,balcon,gastos_de_comunidad,urbanizado,superficie_construida,garaje,consumo,puerta_blindada,adaptado_a_personas_con_movilidad_reducida,identificador,ascensor,superficie_util,nombre,alcantarillado,planta,baños,portero_automatico,exterior,soleado,piscina,calle_alumbrada,precio_m2,precio,lavadero,orientacion,amueblado,interior,habitaciones,gas,tipo_suelo,carpinteria_exterior,superficie_solar,comedor,antiguedad,codigo_postal,ubicacion,agencia,chimenea,telefono
,Si,Si,En buen estado,Si,,2025-02-21 11:55:38,Si,Si,,https://www.pisos.com/alquilar/chalet_adosado-novo_sancti_petri_loma_de_sancti_petri11139-50920427457_519306/,Si,,Si,,Error al procesar emisiones,Si,Si,Si,2025-02-20,240.0,,,Si,240.0,Si,Error al procesar consumo,Si,,50920427457_519306,,155.0,Chalet adosado en Novo Sancti Petri-Loma de Sancti Petri,,,2.0,,,,Si,Si,6.0,1650.0,,SIN ESPECIFICAR,Si,,4.0,,,,,Si,Entre 5 y 10 años,111390.0,chiclana_de_la_frontera,SPAIN REALTY ESTATE,,
,Si,Si,En buen estado,Si,,2025-02-21 11:55:38,Si,Si,,https://www.pisos.com/alquilar/chalet_adosado-nucleo_urbano_urbanizaciones-50854380584_519306/,Si,,Si,,Error al procesar emisiones,Si,Si,Si,2025-02-20,300.0,,,Si,300.0,Si,Error al procesar consumo,Si,,50854380584_519306,,210.0,Chalet adosado en Núcleo Urbano-Urbanizaciones,,,2.0,,,,Si,Si,4.0,1290.0,,SIN ESPECIFICAR,Si,,3.0,,,,,Si,Entre 5 y 10 años,,chiclana_de_la_frontera,SPAIN REALTY ESTATE,,
,Si,Si,En buen estado,Si,,2025-02-21 11:55:41,Si,Si,,https://www.pisos.com/alquilar/chalet_adosado-nucleo_urbano_urbanizaciones-50901028147_519306/,Si,,Si,,Error al procesar emisiones,,Si,Si,2025-02-20,200.0,,,Si,200.0,Si,Error al procesar consumo,Si,,50901028147_519306,,150.0,Chalet adosado en Núcleo Urbano-Urbanizaciones,,,2.0,,,,Si,Si,7.0,1470.0,,SIN ESPECIFICAR,Si,,3.0,,,,,Si,Entre 5 y 10 años,,chiclana_de_la_frontera,SPAIN REALTY ESTATE,,
,Si,,En buen estado,,No,2025-02-21 11:55:45,,Si,,https://www.pisos.com/alquilar/chalet-costa_de_sancti_petri_playa_de_la_barrosa-40925147915_516977/,Si,,Si,,Error al procesar emisiones,Si,Si,Si,2025-02-19,280.0,,,Si,280.0,,Error al procesar consumo,Si,,40925147915_516977,,250.0,Chalet en calle de la Almeja,,,5.0,,,,Si,Si,5.0,1500.0,,SUR,Si,,6.0,,Si,Si,700.0,Si,Entre 5 y 10 años,,chiclana_de_la_frontera,ALQUIMIA INMOBILIARIA.,,
,Si,,En buen estado,,,2025-02-21 11:55:47,,,,https://www.pisos.com/alquilar/chalet_rustico-pinar_de_los_franceses_el_marquesado11138-42509188465_516977/,Si,,Si,,Error al procesar emisiones,Si,,Si,2025-02-19,150.0,,,,150.0,Si,Error al procesar consumo,,,42509188465_516977,,140.0,Chalet rústico en Camino del Polvero,,,4.0,,,,Si,,2.0,300.0,Si,SIN ESPECIFICAR,Si,,3.0,,,Si,3000.0,Si,Entre 10 y 20 años,111380.0,chiclana_de_la_frontera,ALQUIMIA INMOBILIARIA.,Si,
,Si,Si,Reformado,Si,,2025-02-21 11:55:54,,,,https://www.pisos.com/alquilar/piso-mogarizas_las_rapaces-45835622809_995624/,,,,,Error al procesar emisiones,Si,Si,Si,2025-02-17,68.0,,,,68.0,,Error al procesar consumo,Si,,45835622809_995624,,,"Piso en calle de las Dunas, 4",,1.0,1.0,Si,Si,Si,Si,,41.0,2800.0,,SIN ESPECIFICAR,Si,,2.0,,,,,,,,chiclana_de_la_frontera,CAMELOT GRUPO INMOBILIARIO,Si,
,,,En buen estado,,,2025-02-21 11:55:56,,,,https://www.pisos.com/alquilar/piso-la_banda_campo_de_futbol-49172728381_512084/,,,,,Error al procesar emisiones,Si,,,2025-02-19,70.0,,,,70.0,,Error al procesar consumo,,,49172728381_512084,,68.0,Piso en La Banda-Campo de Fútbol,,0.0,1.0,Si,Si,,,,14.0,1000.0,,SIN ESPECIFICAR,Si,,2.0,,,,,,,,chiclana_de_la_frontera,INMOFRONTERA,,
,,,En buen estado,,,2025-02-21 11:56:15,,,,https://www.pisos.com/alquilar/piso-centro_calzada-44234791411_100500/,,,,,Error al procesar emisiones,,,,2025-02-21,60.0,,,,60.0,,Error al procesar consumo,,,44234791411_100500,,,Piso en calle Santa Ana,,,1.0,,,,,,7.0,460.0,,SIN ESPECIFICAR,,,1.0,,,,,,,,sanlucar_de_barrameda,GRUPO HOUSE & HOUSE,,
,,,En buen estado,,,2025-02-21 11:56:15,,,,https://www.pisos.com/alquilar/piso-barrio_alto-41667118296_100500/,,,,,Error al procesar emisiones,,,,2025-02-21,70.0,,,,70.0,,Error al procesar consumo,,,41667118296_100500,,,Piso en Casco  Historico,,3.0,1.0,,,,,,7.0,550.0,,SIN ESPECIFICAR,,,2.0,,,,,,,,sanlucar_de_barrameda,GRUPO HOUSE & HOUSE,,
,,,En buen estado,,,2025-02-21 11:56:15,,,,https://www.pisos.com/alquilar/piso-centro_calzada-35080998400_100500/,,,,,Error al procesar emisiones,Si,,,2025-02-21,70.0,,,,70.0,,Error al procesar consumo,,,35080998400_100500,,,Piso en calle de la Calzada de la Infanta,,1.0,1.0,,,,,,7.0,500.0,,SIN ESPECIFICAR,,,2.0,,,,,,,,sanlucar_de_barrameda,GRUPO HOUSE & HOUSE,,
,,,En buen estado,,,2025-02-21 11:56:16,,,,https://www.pisos.com/alquilar/piso-sanlucar_de_barrameda_las_piletas-21710467295_100500/,,,,,Error al procesar emisiones,,,,2025-02-18,70.0,,,,70.0,,Error al procesar consumo,,,21710467295_100500,Si,,Piso en calle de la Banda de la Playa,,2.0,1.0,,,,,,7.0,500.0,,SIN ESPECIFICAR,,,2.0,,,,,,,,sanlucar_de_barrameda,GRUPO HOUSE & HOUSE,,
,,,En buen estado,Si,,2025-02-21 11:56:16,,,,https://www.pisos.com/alquilar/piso-sanlucar_de_barrameda_las_piletas-24207042538_100500/,,,Si,,Error al procesar emisiones,,Si,,2025-02-16,80.0,,,,80.0,,Error al procesar consumo,,,24207042538_100500,Si,,Piso en calle de la Huerta del Desengaño,,2.0,2.0,,Si,,,,6.0,500.0,,SIN ESPECIFICAR,Si,,3.0,,,,,,,,sanlucar_de_barrameda,GRUPO HOUSE & HOUSE,,
,,,Reformado,,,2025-02-21 11:56:16,,,,https://www.pisos.com/alquilar/piso-centro_calzada-30022979549_100500/,,,Si,,Error al procesar emisiones,,Si,,2025-02-20,70.0,,,,70.0,,Error al procesar consumo,,,30022979549_100500,Si,,Piso en calle Infanta Beatriz,,2.0,1.0,,,,,,6.0,450.0,,SIN ESPECIFICAR,Si,,1.0,,,,,,,,sanlucar_de_barrameda,GRUPO HOUSE & HOUSE,,
,Si,,En buen estado,,,2025-02-21 11:56:17,,,,https://www.pisos.com/alquilar/piso-sanlucar_de_barrameda_las_piletas-25856398462_100500/,,,Si,,Error al procesar emisiones,Si,,Si,2025-02-17,80.0,,,,80.0,Si,Error al procesar consumo,,,25856398462_100500,Si,,Piso en calle del Padre Aldama y Pruaño,,0.0,1.0,,,,Si,,6.0,550.0,,SIN ESPECIFICAR,Si,,2.0,,,,,,,,sanlucar_de_barrameda,GRUPO HOUSE & HOUSE,,
,,,En buen estado,,,2025-02-21 11:56:17,,,,https://www.pisos.com/alquilar/piso-centro_calzada-27577902426_100500/,,,,,Error al procesar emisiones,,,,2025-02-19,80.0,,,,80.0,,Error al procesar consumo,,,27577902426_100500,,,Piso en calle de la Calzada de la Infanta,,1.0,1.0,,,,,,5.0,450.0,,SIN ESPECIFICAR,,,3.0,,,,,,,,sanlucar_de_barrameda,GRUPO HOUSE & HOUSE,,
,,,En buen estado,,,2025-02-21 11:56:17,,,,https://www.pisos.com/alquilar/piso-centro_calzada-43407410448_100500/,,,,,Error al procesar emisiones,,,,2025-02-20,100.0,,,,100.0,,Error al procesar consumo,,,43407410448_100500,,70.0,Piso en calle de la Victoria,,2.0,1.0,,,,,,6.0,600.0,,SIN ESPECIFICAR,,,2.0,,,,,,,,sanlucar_de_barrameda,GRUPO HOUSE & HOUSE,,
,,,En buen estado,,,2025-02-21 11:56:18,,,,https://www.pisos.com/alquilar/piso-sanlucar_de_barrameda_las_piletas-16685628598_100500/,,,,,Error al procesar emisiones,,,,2025-02-20,70.0,,,,70.0,Si,Error al procesar consumo,,,16685628598_100500,,,Piso en Sanlúcar de Barrameda,,0.0,2.0,,,,Si,,7.0,550.0,,SIN ESPECIFICAR,,,2.0,,,,,,,,sanlucar_de_barrameda,GRUPO HOUSE & HOUSE,,
,,,En buen estado,,,2025-02-21 11:56:18,,,,https://www.pisos.com/alquilar/piso-centro_calzada-22540699556_100500/,,,,,Error al procesar emisiones,,,,2025-02-18,90.0,,,,90.0,,Error al procesar consumo,,,22540699556_100500,,,Piso en Avenida Calzada de la Duquesa Isabel,,3.0,1.0,,,,,,9.0,850.0,,SIN ESPECIFICAR,,,3.0,,,,,,,,sanlucar_de_barrameda,GRUPO HOUSE & HOUSE,,
,,,En buen estado,,,2025-02-21 11:56:19,,,,https://www.pisos.com/alquilar/piso-centro_calzada-37503592408_100500/,,,,,Error al procesar emisiones,,,,2025-02-17,100.0,,,,100.0,,Error al procesar consumo,,,37503592408_100500,,,Piso en calle de la Calzada de la Infanta,,2.0,2.0,,,,,,6.0,650.0,,SIN ESPECIFICAR,,,4.0,,,,,,,,sanlucar_de_barrameda,GRUPO HOUSE & HOUSE,,
,,,En buen estado,,,2025-02-21 11:56:21,,,,https://www.pisos.com/alquilar/chalet-el_pino_bajo_de_guia-37540578316_100500/,,,,,Error al procesar emisiones,,,,2025-01-04,200.0,,,,200.0,,Error al procesar consumo,,,37540578316_100500,,95.0,Chalet en La Capillita,,,2.0,,,,Si,,5.0,1000.0,,SIN ESPECIFICAR,,,2.0,,,,300.0,,,,sanlucar_de_barrameda,FPUNTOCOM INMOBILIARIA,,
,,,En buen estado,,,2025-02-21 11:56:21,,,,https://www.pisos.com/alquilar/piso-centro_calzada-25073193570_100500/,,,Si,,Error al procesar emisiones,Si,Si,,2025-02-19,80.0,,,,80.0,,Error al procesar consumo,,,25073193570_100500,,70.0,Piso en calle de la Bolsa,,1.0,1.0,,,,,,,67.0,,SIN ESPECIFICAR,Si,,2.0,,,,,,,,sanlucar_de_barrameda,GRUPO HOUSE & HOUSE,,
,Si,Si,En buen estado,Si,,2025-02-21 11:56:23,Si,Si,,https://www.pisos.com/alquilar/chalet_unifamiliar-las_palmeras_dehesilla-50864232106_519306/,Si,,Si,,Error al procesar emisiones,,Si,Si,2025-02-20,960.0,,,Si,960.0,,Error al procesar consumo,Si,,50864232106_519306,,830.0,Chalet unifamiliar en Las Palmeras-Dehesilla,,,3.0,,,,Si,Si,1.0,1830.0,,SIN ESPECIFICAR,Si,,4.0,,,,1020.0,Si,Entre 5 y 10 años,,sanlucar_de_barrameda,SPAIN REALTY ESTATE,,
,Si,,En buen estado,,,2025-02-21 11:56:26,,,,https://www.pisos.com/alquilar/chalet-el_pino_bajo_de_guia-41686407946_100500/,,,Si,,Error al procesar emisiones,Si,,Si,2025-01-20,120.0,,,,120.0,Si,Error al procesar consumo,,,41686407946_100500,,,Chalet en Sanlúcar de Barrameda,,,3.0,,,,,,34.0,4100.0,,SIN ESPECIFICAR,Si,,3.0,,,,,,,,sanlucar_de_barrameda,FARO REAL INMOBILIARIA,,
,,,En buen estado,,,2025-02-21 11:56:27,,,,https://www.pisos.com/alquilar/piso-centro_calzada-23420993208_100500/,,,Si,,Error al procesar emisiones,Si,,,2025-01-20,99.0,,,,99.0,Si,Error al procesar consumo,,,23420993208_100500,,91.0,Piso en Barrio Alto,,1.0,2.0,,,,,,23.0,2300.0,,SIN ESPECIFICAR,,,2.0,,,,,,,,sanlucar_de_barrameda,FARO REAL INMOBILIARIA,,
,Si,Si,En buen estado,,,2025-02-21 11:56:27,,,,https://www.pisos.com/alquilar/apartamento-centro_calzada-50924911519_100500/,,,Si,,Error al procesar emisiones,Si,,Si,2025-02-10,85.0,,,,85.0,Si,Error al procesar consumo,,Si,50924911519_100500,Si,,Apartamento en Centro,,0.0,2.0,,,Si,,,35.0,3000.0,,SIN ESPECIFICAR,Si,,2.0,,Si,,,,,,sanlucar_de_barrameda,FARO REAL INMOBILIARIA,,
,,Si,En buen estado,,,2025-02-21 11:56:27,,,,https://www.pisos.com/alquilar/apartamento-centro_calzada-21755871564_100500/,,,Si,,Error al procesar emisiones,Si,,,2025-02-20,70.0,,,,70.0,Si,Error al procesar consumo,,,21755871564_100500,,,Apartamento en Centro,,0.0,1.0,,Si,Si,,,30.0,2150.0,,SIN ESPECIFICAR,Si,,2.0,,Si,,,,,,sanlucar_de_barrameda,FARO REAL INMOBILIARIA,,
,,Si,En buen estado,,,2025-02-21 11:56:30,,,,https://www.pisos.com/alquilar/chalet-centro_calzada-21719196290_100500/,,,Si,,Error al procesar emisiones,Si,Si,Si,2025-02-10,115.0,,,,115.0,,Error al procesar consumo,,,21719196290_100500,,90.0,Chalet en Avda. Las Piletas,,,2.0,,,,,,32.0,3700.0,,SURESTE,Si,,4.0,,Si,,,,,,sanlucar_de_barrameda,FARO REAL INMOBILIARIA,,
,,,En buen estado,,,2025-02-21 11:56:55,Si,Si,Si,https://www.pisos.com/alquilar/piso-playa_de_la_victoria-485842523_501539/,,,Si,Si,Error al procesar emisiones,,,Si,2025-02-21,185.0,,Si,,185.0,,Error al procesar consumo,Si,,485842523_501539,Si,165.0,Piso en Playa de La Victoria,,-1.0,2.0,Si,Si,Si,,,6.0,1200.0,Si,SUROESTE,,,5.0,Si,Si,Si,,Si,Más de 50 años,,cadiz_capital,PIRENILLA GESTION INMOBILIARIA,,Si
,,,En buen estado,,No,2025-02-21 11:56:56,,,,https://www.pisos.com/alquilar/piso-la_paz_segunda_aguado_loreto-35028116537_501539/,,,Si,,Error al procesar emisiones,,,,2025-02-19,99.0,,,,99.0,,Error al procesar consumo,Si,,35028116537_501539,Si,90.0,Piso en Avenida Segunda Aguada,,4.0,2.0,Si,Si,Si,,,8.0,800.0,,SIN ESPECIFICAR,Si,,4.0,,Si,Si,,Si,Entre 30 y 50 años,,cadiz_capital,PIRENILLA GESTION INMOBILIARIA,,
,,,En buen estado,,,2025-02-21 11:56:56,,Si,,https://www.pisos.com/alquilar/piso-extramuros-86729224712_501539/,,,Si,,Error al procesar emisiones,Si,Si,Si,2025-02-21,75.0,,,,75.0,,Error al procesar consumo,Si,,86729224712_501539,Si,75.0,Piso en Estadio,,7.0,1.0,Si,Si,Si,,,1.0,135.0,,SUR,Si,,3.0,,Si,Si,,Si,Entre 30 y 50 años,,cadiz_capital,PIRENILLA GESTION INMOBILIARIA,,
,,,En buen estado,,,2025-02-21 11:56:57,,,,https://www.pisos.com/alquilar/piso-cortadura_zona_franca-10834785389_501539/,,,Si,,Error al procesar emisiones,,,Si,2025-02-21,72.0,,,,72.0,Si,Error al procesar consumo,Si,Si,10834785389_501539,Si,67.0,Piso en Cortadura-Zona Franca,,5.0,1.0,Si,Si,Si,,,9.0,700.0,,ESTE,Si,,2.0,,Si,Si,,Si,Entre 30 y 50 años,,cadiz_capital,PIRENILLA GESTION INMOBILIARIA,,
,,,Reformado,,,2025-02-21 12:00:34,,,,https://www.pisos.com/alquilar/apartamento-velilla_distrito-41675443400_500785/,,,,,Error al procesar emisiones,,Si,,2025-02-19,106.0,,,,106.0,Si,Error al procesar consumo,,,41675443400_500785,Si,106.0,"Apartamento en Paseo de la Reina Sofía, 1",,11.0,2.0,Si,,Si,,,8.0,900.0,,SURESTE,Si,,3.0,,,,,,,,almunecar,NAVIL ALQUILERES S.L,,
Si,,,En buen estado,,,2025-02-21 12:00:35,,,,https://www.pisos.com/alquilar/apartamento-almunecar_casco_urbano-873651980_500785/,,,Si,Si,Error al procesar emisiones,,Si,,2025-02-20,65.0,,,,65.0,,Error al procesar consumo,,,873651980_500785,Si,65.0,"Apartamento en Paseo de la Reina Sofía, 9",,2.0,1.0,,,,,,7.0,490.0,,SIN ESPECIFICAR,Si,,2.0,,,,,,,,almunecar,NAVIL ALQUILERES S.L,,
Si,,,En buen estado,,,2025-02-21 12:00:35,,,,https://www.pisos.com/alquilar/apartamento-almunecar_los_pinos-872806566_500785/,,,Si,Si,Error al procesar emisiones,,Si,Si,2025-02-19,65.0,,,,65.0,,Error al procesar consumo,,,872806566_500785,Si,65.0,"Apartamento en Paseo de Velilla, 15",,6.0,1.0,Si,,Si,Si,,5.0,385.0,,SURESTE,Si,,1.0,,,,,Si,,,almunecar,NAVIL ALQUILERES S.L,,
,,,Reformado,Si,Si,2025-02-21 12:00:35,,Si,,https://www.pisos.com/alquilar/casa_adosada-almunecar_centro_urbano-945856908445356_109700/,Si,Adosada,Si,Si,Error al procesar emisiones,Si,Si,Si,2025-02-01,100.0,,,Si,100.0,Si,Error al procesar consumo,,,945856908445356_109700,,75.0,"Casa adosada en calle Al Club, nº 19",,,2.0,,,,Si,Si,9.0,940.0,Si,SIN ESPECIFICAR,Si,,2.0,,Si,Si,,,Entre 10 y 20 años,,almunecar,Tropysol,,
Si,Si,,En buen estado,Si,,2025-02-21 12:00:36,Si,Si,,https://www.pisos.com/alquilar/casa-almunecar_los_pinos-240363243_173200/,Si,,Si,Si,Error al procesar emisiones,Si,Si,Si,2025-02-21,180.0,,,Si,180.0,Si,Error al procesar consumo,Si,,240363243_173200,,180.0,"Casa en Avenida de los Pinos, 34",,,3.0,,,,Si,Si,4.0,770.0,Si,ESTE,Si,,3.0,Si,,Si,255.0,Si,Entre 10 y 20 años,,almunecar,INMOBILIARIA GRUPO IRIS,,
Si,Si,,En buen estado,Si,,2025-02-21 12:00:36,Si,Si,,https://www.pisos.com/alquilar/atico-velilla_taramay-940927608_173200/,,,Si,Si,"E, E",Si,Si,Si,2025-02-21,136.0,,,,136.0,Si,"E, E",Si,Si,940927608_173200,Si,109.0,Ático en Camino de la Galera,,5.0,2.0,Si,Si,Si,Si,,8.0,1200.0,Si,SUROESTE,Si,,3.0,,Si,Si,,Si,Entre 10 y 20 años,,almunecar,INMOBILIARIA GRUPO IRIS,,
,Si,,En buen estado,Si,,2025-02-21 12:00:36,Si,Si,,https://www.pisos.com/alquilar/atico-almunecar_taramay-26703581883_173200/,,,Si,,"E, E",Si,Si,Si,2025-02-21,136.0,,,,136.0,Si,"E, E",Si,Si,26703581883_173200,Si,109.0,Ático en Camino de la Galera,,5.0,2.0,Si,Si,Si,Si,,8.0,1200.0,Si,SUROESTE,Si,,3.0,,Si,Si,,Si,Entre 10 y 20 años,,almunecar,INMOBILIARIA GRUPO IRIS,,
,Si,,En buen estado,Si,,2025-02-21 12:00:37,Si,Si,,https://www.pisos.com/alquilar/atico-almunecar_taramay-43430425386_173200/,,,Si,,Error al procesar emisiones,Si,Si,Si,2025-02-21,133.0,,,,133.0,Si,Error al procesar consumo,Si,Si,43430425386_173200,Si,133.0,Ático en calle  Mayor Zaragoza,,5.0,3.0,Si,Si,Si,Si,,9.0,1300.0,,SUR,,,3.0,,Si,Si,,Si,Entre 10 y 20 años,,almunecar,INMOBILIARIA GRUPO IRIS,,
,,,En buen estado,,,2025-02-21 12:00:37,,Si,,https://www.pisos.com/alquilar/piso-velilla_taramay-945856909186798_109700/,,,Si,Si,Error al procesar emisiones,Si,Si,Si,2025-02-01,85.0,,,,85.0,,Error al procesar consumo,,,945856909186798_109700,Si,85.0,"Piso en Paseo de Velilla, nº 15",,8.0,2.0,Si,Si,Si,Si,,12.0,1090.0,,SURESTE,Si,,3.0,,,,,Si,Entre 20 y 30 años,,almunecar,Tropysol,,
,,,En buen estado,,,2025-02-21 12:00:37,,,,https://www.pisos.com/alquilar/apartamento-velilla_taramay-1693786163_500785/,,,,,Error al procesar emisiones,Si,Si,,2025-02-19,70.0,,,,70.0,,Error al procesar consumo,,,1693786163_500785,,70.0,"Apartamento en Paseo de Velilla, nº 10",,9.0,2.0,,,,Si,,7.0,490.0,,SIN ESPECIFICAR,Si,,2.0,,,,,,Entre 30 y 50 años,,almunecar,NAVIL ALQUILERES S.L,,
,,,En buen estado,,No,2025-02-21 12:00:38,,,,https://www.pisos.com/alquilar/piso-almunecar_casco_urbano-945856909186788_109700/,,,,Si,Error al procesar emisiones,Si,Si,Si,2025-02-01,85.0,,,,85.0,,Error al procesar consumo,,,945856909186788_109700,Si,75.0,"Piso en Paseo de la Reina Sofía, 9",,4.0,1.0,Si,,Si,,,10.0,890.0,,SUR,Si,,2.0,,,,,Si,Entre 30 y 50 años,,almunecar,Tropysol,,
,Si,,En buen estado,Si,No,2025-02-21 12:00:39,Si,Si,,https://www.pisos.com/alquilar/apartamento-almunecar_taramay-22505441113_173200/,,,Si,,"E, E",Si,Si,Si,2025-02-20,143.0,,,,143.0,Si,"E, E",Si,,22505441113_173200,Si,132.0,"Apartamento en calle Mayor Zaragoza, nº 2",,4.0,3.0,Si,Si,Si,Si,,6.0,980.0,Si,SUR,Si,,4.0,,Si,Si,,Si,Entre 20 y 30 años,,almunecar,INMOBILIARIA GRUPO IRIS,,
,Si,,En buen estado,,Si,2025-02-21 12:00:39,,Si,,https://www.pisos.com/alquilar/casa_adosada-almunecar_centro_urbano-945856908072688_109700/,Si,Adosada,Si,Si,Error al procesar emisiones,Si,Si,Si,2025-02-01,68.0,,,Si,68.0,Si,Error al procesar consumo,,,945856908072688_109700,,60.0,Casa adosada en calle de Lambda,,,1.0,,,,Si,Si,11.0,815.0,,SIN ESPECIFICAR,Si,,2.0,,,,,Si,Entre 10 y 20 años,,almunecar,Tropysol,Si,
