nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie solar,Baños,Antigüedad,Referencia,Superficie útil,Habitaciones,Planta,Armarios empotrados,Tipo suelo,Aire acondicionado,Calefacción,Comedor,Ascensor,Terraza,Agua,Puerta blindada,Jardín,Cocina equipada,Lavadero,Orientación,Exterior,Conservación,Gastos de comunidad,Carpintería interior,Carpintería exterior,Portero automático,Adaptado a personas con movilidad reducida,Balcón,Soleado,Se aceptan mascotas,Amueblado,Tipo de casa,Garaje,Sistema de seguridad,Piscina,Chimenea,Vidrios dobles,Gas,Trastero,Teléfono,Interior,Urbanizado,Calle alumbrada,Calle asfaltada
Casa en Centro,PARELLADA IMMOBILIÀRIA,3.807 €/m²,1.150.000 €,302 m²,https://www.pisos.com/comprar/casa-badalona_centre08911-50834698440_100500/,Anuncio actualizado el 12/02/2025,"C, B","C, B",badalona (BCN),302 m²,106 m²,4,Entre 5 y 10 años,SA5410-3013/11637,214 m²,4,,,,N/A,N/A,N/A,,N/A,,N/A,,,,,,,,,,,,,,,,,1,,,N/A,,,,,,,,
Piso en Travessera de Montigalà,JJFINQUES BADALONA,2.635 €/m²,340.000 €,129 m²,https://www.pisos.com/comprar/piso-montigala_sant_crist08917-50887863776_101800/,Anuncio actualizado el 20/02/2025,"E, E","E, E",badalona (BCN),129 m²,,2,Entre 30 y 50 años,IF76353-F36,,4,1ª,1,,,Central,,N/A,N/A,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Montserrat, 134",PATRIMONIA,1.463 €/m²,180.000 €,123 m²,https://www.pisos.com/comprar/piso-montigala_sant_crist08917-46751789348_106700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),123 m²,,1,,IFC76351-P_MONTSBDN,107 m²,3,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
"Piso en Rambla de Sant Joan, 90",PREMIER ESPAÑA,4.490 €/m²,467.000 €,104 m²,https://www.pisos.com/comprar/piso-badalona_centre08912-5013463481_109700/,Anuncio actualizado el 18/02/2025,"A, A","A, A",badalona (BCN),104 m²,,2,,4992912-21619906,,3,,,,,,,,N/A,,,,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sant Felip i de Rosés,PARELLADA IMMOBILIÀRIA,2.923 €/m²,190.000 €,65 m²,https://www.pisos.com/comprar/piso-bonavista_bufala08915-51723596030_100500/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),65 m²,,1,Entre 30 y 50 años,SA5410-3023/11637,58 m²,1,Bajo,,,N/A,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
"Piso en Carrer del Progrés, 190",LA LLAVE DE ORO,4.303 €/m²,568.000 €,132 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-5208596181_109700/,Anuncio actualizado el 07/02/2025,"A, A","A, A",badalona (BCN),132 m²,,2,,4993346-0,,4,7ª,,,,,,N/A,,,,,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer de Calderón de la Barca,ASIFRAN-GROUP,1.481 €/m²,257.800 €,174 m²,https://www.pisos.com/comprar/duplex-la_salut_lloreda_sistrells08914-49185022842_500186/,Anuncio actualizado el 20/02/2025,"E, F","E, F",badalona (BCN),174 m²,,3,Entre 20 y 30 años,500186-02-03LS1059,160 m²,3,3ª,1,Gres,Frío y calor,Gas natural,Exterior de 25m² con salida a balcon,N/A,2 terrazas,,N/A,,Amplia de 9m²,,,N/A,Reformado,Entre 80 y 100 €,Roble,Aluminio,N/A,,N/A,N/A,N/A,,,,,,,,Natural,De 24m² para almacenamiento adicional,,,,,
"Dúplex en Passeig d'Olof Palme, 16",AEDAS HOMES,4.420 €/m²,610.000 €,138 m²,https://www.pisos.com/comprar/duplex-montigala_sant_crist08917-5140039119_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),138 m²,,3,,-a0P070000011bCWEAY,,4,11ª,,,,,,N/A,N/A,,,Privado,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Ignasi Iglesias,PARELLADA IMMOBILIÀRIA,2.607 €/m²,730.000 €,280 m²,https://www.pisos.com/comprar/piso-badalona_centre08912-45036491796_100500/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),280 m²,,3,Entre 20 y 30 años,SA5410-2641/11637,260 m²,3,Bajo,,Parquet,N/A,Gas natural,,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,1,N/A,,,,,,,,,,
Piso en Carrer d'Enric Borràs,PARELLADA IMMOBILIÀRIA,4.717 €/m²,552.000 €,117 m²,https://www.pisos.com/comprar/piso-badalona_centre08912-50914486029_100500/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),117 m²,,3,Menos de 5 años,SA5410-2268/11637,103 m²,3,Bajo,,,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de Martí Pujol,PARELLADA IMMOBILIÀRIA,2.670 €/m²,785.000 €,294 m²,https://www.pisos.com/comprar/piso-badalona_centre08911-50871312132_100500/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),294 m²,,3,Más de 50 años,SA5410-3015/11637,185 m²,5,2ª,,,N/A,N/A,N/A,N/A,N/A,,N/A,,,,,,,Entre 40 y 60 €,,,,,N/A,,,,,,,,N/A,,,N/A,,,,,
"Piso en Rambla de Sant Joan, 90",PREMIER ESPAÑA,4.490 €/m²,467.000 €,104 m²,https://www.pisos.com/comprar/piso-badalona_centre08912-5013463481_109700/,Anuncio actualizado el 18/02/2025,"A, A","A, A",badalona (BCN),104 m²,,2,,4992912-21619906,,3,,,,,,,,N/A,,,,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,
"Piso en Passeig d'Olof Palme, 16",AEDAS HOMES,4.422 €/m²,398.000 €,90 m²,https://www.pisos.com/comprar/piso-montigala_sant_crist08917-5239025430_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),90 m²,,2,,-a0P070000011bCWEAY,,3,,,,,,,N/A,N/A,,,Privado,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer del Progrés, 190",LA LLAVE DE ORO,4.045 €/m²,445.000 €,110 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-5195298849_109700/,Anuncio actualizado el 07/02/2025,"A, A","A, A",badalona (BCN),110 m²,,2,,4993346-0,,3,2ª,,,,,,N/A,,,,,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Sant Antoni Abat,ASIFRAN-GROUP,1.073 €/m²,335.000 €,312 m²,https://www.pisos.com/comprar/casa-llefia_artigues08913-49228450038_500186/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),312 m²,,2,Más de 50 años,500186-02-5975,300 m²,4,,,Gres,,Gas natural,N/A,,N/A,,N/A,,Office con lavadero,N/A,Sureste,,En buen estado,,,Aluminio,,,,,N/A,,,Más de 2,,,,,N/A,,,,,,
Ático en Centro,PARELLADA IMMOBILIÀRIA,5.166 €/m²,775.000 €,150 m²,https://www.pisos.com/comprar/atico-badalona_centre08911-49170191681_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),150 m²,,3,Menos de 5 años,SA5410-2912/11637,121 m²,4,3ª,,Tarima flotante,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,
Piso en Centro,PARELLADA IMMOBILIÀRIA,3.633 €/m²,585.000 €,161 m²,https://www.pisos.com/comprar/piso-badalona_centre08912-49249925581_100500/,Anuncio actualizado el 13/12/2024,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),161 m²,,2,Entre 30 y 50 años,SA5410-3006/11637,148 m²,4,1ª,,Mármol,N/A,N/A,,N/A,,,N/A,,,,,,,Entre 80 y 100 €,,,,,N/A,,,,,1,,,N/A,,,,,,,,
Piso en Carrer de la Navata,Lloreda Bdn Sl,2.613 €/m²,169.900 €,65 m²,https://www.pisos.com/comprar/piso-la_salut_lloreda_sistrells08917-49187598593_100200/,Anuncio actualizado el 18/02/2025,"E, E","E, E",badalona (BCN),65 m²,,1,Más de 50 años,TC843-601002,,3,,,,,,,,,,,,,,,,En buen estado,,,,,,N/A,,,,,,,,,,,,,,,,
"Piso en Passeig d'Olof Palme, 16",AEDAS HOMES,4.211 €/m²,518.000 €,123 m²,https://www.pisos.com/comprar/piso-montigala_sant_crist08917-4949174102_109700/,Anuncio actualizado el 20/02/2025,"A, A","A, A",badalona (BCN),123 m²,,2,,-a0P070000011bCWEAY,,4,5ª,,,,,,N/A,N/A,,,,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,
Piso en Gorg-Progrés-Pep Ventura,ASSESSORIA JOTA SLU.,3.151 €/m²,249.000 €,79 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-51738652502_100200/,Anuncio actualizado el 13/02/2025,"E, E","E, E",badalona (BCN),79 m²,,1,Más de 50 años,TC641-607856,,3,,,Parquet,,,,,N/A,,,,,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,
Piso en Bonavista-Bufalà,ASIFRAN-GROUP,3.050 €/m²,359.900 €,118 m²,https://www.pisos.com/comprar/piso-bonavista_bufala08915-47589255469_500186/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),118 m²,,2,Entre 10 y 20 años,500186-02-6077,110 m²,4,2ª,,Mármol,Frío,Central,Muy amplio con salida a balcón,N/A,,,N/A,Comunitario,Tipo office,,,N/A,Reformado,,Roble,Aluminio,N/A,N/A,N/A,N/A,N/A,,,1,,,,N/A,N/A,N/A,,,,,
Piso en Port,ALFA BADALONA CENTRO MAR,5.954 €/m²,655.000 €,110 m²,https://www.pisos.com/comprar/piso-badalona_port08912-50894919840_100500/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),110 m²,,2,Entre 20 y 30 años,SA596-ALFA1925/1826,98 m²,4,2ª,1,Parquet,,Gas natural,,N/A,N/A,N/A,N/A,,,,,,,Más de 100 €,,,,,,,,,,,,Comunitaria,,,,,,,,,
"Piso en Rambla de Sant Joan, 90",PREMIER ESPAÑA,3.661 €/m²,476.000 €,130 m²,https://www.pisos.com/comprar/piso-badalona_centre08912-5014746126_109700/,Anuncio actualizado el 18/02/2025,"A, A","A, A",badalona (BCN),130 m²,,2,,4992912-21619909,,3,,,,,,,,N/A,,,,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Crist,"LOPEZ i FERRER ASSESSORS, S.L.",1.730 €/m²,180.000 €,104 m²,https://www.pisos.com/comprar/piso-montigala_sant_crist08917-45043948611_106700/,Anuncio actualizado el 01/01/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),104 m²,,1,,IFC76033-PISGON-415,90 m²,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle *,URBENIA,4.724 €/m²,411.000 €,87 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-5081947020_109700/,Anuncio actualizado el 19/12/2024,"A, A","A, A",badalona (BCN),87 m²,,2,,EP1014-21650251,,3,Bajo,,,,,,,N/A,,,,,,,,A estrenar,,,,,,,,,,,N/A,,,,,,,,,,,
Ático en Centre,Engel & Völkers MMC Barcelona,8.547 €/m²,1.000.000 €,117 m²,https://www.pisos.com/comprar/atico-badalona_centre08911-4921722476_109700/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),117 m²,,2,,IF76306-D-000MEU,,3,,2,Gres,Frío y calor,,,,N/A,,,,N/A,,,,A estrenar,,,,N/A,,,,,,,,,,,,,,,,,,
Casa en Pep Ventura,ALFA BADALONA CENTRO MAR,2.871 €/m²,560.000 €,195 m²,https://www.pisos.com/comprar/casa-gorg_progres_pep_ventura08912-50893198542_100500/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),195 m²,,2,Entre 20 y 30 años,SA596-ALFA1921/1826,167 m²,5,,1,Mármol,,N/A,N/A,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,1,,,,,,N/A,,,,,
Piso en calle Pius Xiii,pisos 22,3.164 €/m²,269.000 €,85 m²,https://www.pisos.com/comprar/piso-llefia_artigues-38385568209_518459/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),85 m²,,1,Entre 30 y 50 años,4518459-2023/57,80 m²,3,1ª,,Gres,Frío y calor,Gas natural,,N/A,N/A,,N/A,,0ffice,N/A,Noreste,N/A,En buen estado,Entre 40 y 60 €,N/A,Aluminio,N/A,N/A,,N/A,N/A,,,,,,,,N/A,,,,,,
Piso en Carrer de Bufalà,INMOKASAS,2.655 €/m²,385.000 €,145 m²,https://www.pisos.com/comprar/piso-bonavista_bufala-36684805806_520652/,Anuncio actualizado el 12/02/2025,"D, C","D, C",badalona (BCN),145 m²,,2,Entre 20 y 30 años,4520652-2502023,120 m²,3,1ª,2,Gres,,Eléctrica,Comedor con salida a balcón,N/A,N/A,,N/A,,Cocina con salida a pario,,,N/A,En buen estado,Entre 40 y 60 €,,Aluminio,N/A,N/A,N/A,N/A,,N/A,,,,,,Vidrios tipo climalit,,,,,,,
Piso en Montigalà-Sant Crist,Lloreda Bdn Sl,1.987 €/m²,153.000 €,77 m²,https://www.pisos.com/comprar/piso-montigala_sant_crist08917-50890211923_100200/,Anuncio actualizado el 18/02/2025,"E, E","E, E",badalona (BCN),77 m²,,1,Más de 50 años,TC843-608173,,3,,,,,,,,N/A,,,,,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,
Piso en Llefià-Artigues,INMOBILIARIA LA MURALLA,2.196 €/m²,145.000 €,66 m²,https://www.pisos.com/comprar/piso-llefia_artigues08914-45903529673_285400/,Anuncio actualizado el 05/02/2025,"E, E","E, E",badalona (BCN),66 m²,,1,Más de 50 años,2854-10646,57 m²,3,3ª,1,Gres,,,12m²,,,,N/A,,6m²,3m²,Norte,N/A,En buen estado,30€ al mes,Bien conservadas,Aluminio,N/A,,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,,,,
Piso en Avinguda de Sant Salvador,PROJECT HOUSE REAL ESTATE,2.555 €/m²,230.000 €,90 m²,https://www.pisos.com/comprar/piso-llefia_artigues08913-44238475147_518261/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),90 m²,,1,Entre 30 y 50 años,4518261-450B,84 m²,3,3ª,,Gres,,,N/A,N/A,,,,,N/A,N/A,,N/A,En buen estado,,N/A,Aluminio,N/A,,N/A,N/A,,,,,,,,N/A,N/A,,,,,,
Dúplex en La Salut-Lloreda-Sistrells,MONAPART,3.250 €/m²,390.000 €,120 m²,https://www.pisos.com/comprar/duplex-la_salut_lloreda_sistrells08914-5083255445_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),120 m²,,2,,IF76872-MC0012-4414,,3,4ª,,Gres,,,,,N/A,,,,,,,,A estrenar,,,PVC,,,N/A,,,,,,,,,,,,,,,,
Piso en Port,ALFA BADALONA CENTRO MAR,6.467 €/m²,595.000 €,92 m²,https://www.pisos.com/comprar/piso-badalona_port08912-50929036343_100500/,Anuncio actualizado el 10/02/2025,"E, E","E, E",badalona (BCN),92 m²,,2,Entre 20 y 30 años,SA596-ALFA1924/1826,78 m²,2,8ª,,Parquet,,Eléctrica,N/A,N/A,N/A,,N/A,,,,,,,Más de 100 €,,,,,N/A,,,,,,,Comunitaria,,,,,,,,,
Ático en Carrer de Sicília,ZONA FINCAS,2.964 €/m²,166.000 €,56 m²,https://www.pisos.com/comprar/atico-montigala_sant_crist08917-49199322014_514358/,Anuncio actualizado el 19/02/2025,"G, G","G, G",badalona (BCN),56 m²,,1,Más de 50 años,514358-ATZF24/002,55 m²,2,4ª,,Parquet,,Gas natural,Salida a terraza.,,18m²,,N/A,,Independiente salida a galería.,,,N/A,En buen estado,,,Puertas haya,N/A,,,N/A,,,,,,,,,,,,,,,
Ático en calle *,URBENIA,5.954 €/m²,655.000 €,110 m²,https://www.pisos.com/comprar/atico-gorg_progres_pep_ventura08912-5064569066_109700/,Anuncio actualizado el 19/12/2024,"A, A","A, A",badalona (BCN),110 m²,,2,,EP1014-21650226,,4,6ª,,,,,,,N/A,,,,,,,,A estrenar,,,,,,,,,,,N/A,,,,,,,,,,,
Piso en Carrer d'Isaac Albéniz,pisos 22,2.111 €/m²,190.000 €,90 m²,https://www.pisos.com/comprar/piso-la_salut_lloreda_sistrells08914-45007121536_518459/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),90 m²,,1,Entre 30 y 50 años,4518459-2024/42,85 m²,4,3ª,,Gres,Frío y calor,Gas natural,N/A,N/A,,,N/A,,N/A,N/A,Oeste,N/A,En buen estado,Entre 40 y 60 €,N/A,Aluminio,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,,,,,,
Piso en calle *,URBENIA,4.705 €/m²,320.000 €,68 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-5081262871_109700/,Anuncio actualizado el 19/12/2024,"A, A","A, A",badalona (BCN),68 m²,,1,,EP1014-21650200,,2,1ª,,,,,,,N/A,,,,,,,,A estrenar,,,,,,,,,,,N/A,,,,,,,,,,,
Piso en Carrer de la Muntanya,Finques Galdos,2.200 €/m²,176.000 €,80 m²,https://www.pisos.com/comprar/piso-llefia_artigues08913-49244815132_100500/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),80 m²,,1,,SA5702-venta montaña 18,75 m²,4,5ª,,,,,,N/A,,,,,,,Sur,N/A,En buen estado,,,,,,N/A,,,,,,,,,,,,,,,,
Ático en Avinguda d'Alfons XIII,Loft Serveis Immobiliaris,3.606 €/m²,288.500 €,80 m²,https://www.pisos.com/comprar/atico-gorg_progres_pep_ventura08918-44251550042_501141/,Anuncio actualizado el 19/02/2025,"F, F","F, F",badalona (BCN),80 m²,,1,Entre 30 y 50 años,501141-03PV1207,75 m²,3,5ª,,Terrazo,Frío y calor,Gas natural,Exterior con salida a terraza,N/A,N/A,,N/A,,Con salida a galería-lavadero,N/A,,N/A,En buen estado,Entre 40 y 60 €,Embero,Aluminio,N/A,,,N/A,N/A,,,,,,,,N/A,,,,,,
Ático en Carrer de Sant Bartomeu,PUBLIFINCAS,1.826 €/m²,274.000 €,150 m²,https://www.pisos.com/comprar/atico-llefia_artigues08913-48425385718_516600/,Anuncio actualizado el 20/01/2025,"F, F","F, F",badalona (BCN),150 m²,,1,Más de 50 años,4516600-000042,83 m²,3,6ª,,Terrazo,Frío y calor,Gas natural,24m²,N/A,60m²,,N/A,,6m²,5m²,Sureste,N/A,En buen estado,Entre 40 y 60 €,Sapelly,Aluminio,N/A,,,"Excelente orientación, vistas al mar",N/A,,,,,,,,N/A,,N/A,,,,
Piso en Carrer del Molí de la Torre,Comprarcasa-Finques Ema,2.901 €/m²,235.000 €,81 m²,https://www.pisos.com/comprar/piso-bonavista_bufala08915-51732732324_100500/,Anuncio actualizado el 12/02/2025,"G, F","G, F",badalona (BCN),81 m²,,1,Entre 10 y 20 años,SA375-404-1-23515/2440,70 m²,3,3ª,,,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,
"Piso en Carrer del Progrés, 190",LA LLAVE DE ORO,4.303 €/m²,568.000 €,132 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-5208596181_109700/,Anuncio actualizado el 07/02/2025,"A, A","A, A",badalona (BCN),132 m²,,2,,4993346-0,,4,7ª,,,,,,N/A,,,,,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer de Calderón de la Barca,Loft Serveis Immobiliaris,1.481 €/m²,257.800 €,174 m²,https://www.pisos.com/comprar/duplex-la_salut_lloreda_sistrells08914-49195778931_501141/,Anuncio actualizado el 19/02/2025,"E, F","E, F",badalona (BCN),174 m²,,3,Entre 20 y 30 años,501141-03LS1059,160 m²,3,3ª,1,Gres,Frío y calor,Gas natural,Exterior 25 m. Con salida a balcon,N/A,2 terrazas,,N/A,,Amplia  9 m²,,,N/A,Reformado,Entre 80 y 100 €,Roble,Aluminio,N/A,,N/A,N/A,N/A,,,,,,,,Natural,24 m en planta sótano del edificio,,,,,
Piso en Avinguda de Martí Pujol,FINCADOR,4.545 €/m²,500.000 €,110 m²,https://www.pisos.com/comprar/piso-badalona_centre08911-47545331147_995255/,Anuncio actualizado el 20/02/2025,"B, B","B, B",badalona (BCN),110 m²,,2,Menos de 5 años,4995255-184-21714,95 m²,3,1ª,1,Gres,Frío y calor,Gas natural,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,A estrenar,,N/A,PVC,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,,,,,
Piso en Bonavista-Bufalà,GERMA JULI,2.518 €/m²,340.000 €,135 m²,https://www.pisos.com/comprar/piso-bonavista_bufala08915-47594912662_994242/,Anuncio actualizado el 20/02/2025,"E, E","E, E",badalona (BCN),135 m²,,2,Entre 30 y 50 años,994242-1013,135 m²,4,2ª,1,Terrazo,,,N/A,N/A,,,,,N/A,N/A,,N/A,En buen estado,,Madera,Aluminio,Videoportero,,N/A,N/A,,,,1,,,,,,,,,,,
Piso en Carrer de Ponent,CERQUEM HABITATGES,3.467 €/m²,319.000 €,92 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-50095870978_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",badalona (BCN),92 m²,,1,Entre 30 y 50 años,SA5767-V24-P3H,82 m²,3,2ª,,,,,,N/A,,,,,,,Sur,N/A,En buen estado,Entre 20 y 40 €,,,,N/A,N/A,,,,,,,,,,,,,,,,
