nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Aire acondicionado,Calefacción,Garaje,Terraza,Jardín,Piscina,Superficie útil,Planta,Gastos de comunidad,Tipo suelo,Trastero,Puerta blindada,Ascensor,Balcón,Orientación,Exterior,Amueblado,Carpintería interior,Vidrios dobles,Carpintería exterior,Teléfono,Cocina equipada,Comedor,Portero automático,Sistema de seguridad,Soleado,Se aceptan mascotas,Superficie solar,Urbanizado,Armarios empotrados,Gas,Lavadero,Adaptado a personas con movilidad reducida,Agua,Chimenea,Tipo de casa,Luz,Calle alumbrada,Calle asfaltada,Interior,No se aceptan mascotas
Piso en Poal,FINCAS BELLAMAR,5.000 €/m²,200.000 €,40 m²,https://www.pisos.com/comprar/piso-bellamar-30093650051_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",baix_llobregat (BCN),40 m²,1,1,,En buen estado,SA2911-VC2022554,,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Olesa de Montserrat,VS LA CLAU SERVEIS IMMOBILIARIS,1.872 €/m²,309.000 €,165 m²,https://www.pisos.com/comprar/duplex-olesa_de_montserrat_centro_urbano-48366383600_501243/,Anuncio actualizado el 31/12/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),165 m²,4,1,Entre 20 y 30 años,En buen estado,501243-003230,Frío y calor,Gas natural,1,N/A,Comunitario,Comunitaria,130 m²,Bajo,Entre 80 y 100 €,Gres,N/A,N/A,N/A,,Sur,N/A,,,N/A,Aluminio,,Office sortida safareig,Sortida a terrassa 18m,N/A,,N/A,,,,,N/A,N/A,,,,,,,,,
Piso en Bajo Llobregat,Paqui Segura,5.085 €/m²,534.000 €,105 m²,https://www.pisos.com/comprar/piso-fontsanta_fatjo-51747658528_108700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),105 m²,3,2,Entre 10 y 20 años,,UVC20-31900,,N/A,,N/A,,,105 m²,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en El Mas Ratés-La Montserratina-El Ginestar,Nova Viladecans Sl,2.662 €/m²,237.000 €,89 m²,https://www.pisos.com/comprar/piso-el_mas_rates_la_montserratina_el_ginestar-49177991452_100200/,Anuncio actualizado el 29/01/2025,"E, E","E, E",baix_llobregat (BCN),89 m²,3,2,Entre 30 y 50 años,En buen estado,TC1021-601826,,Central,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Esplugues de Llobregat,FORCADELL SANT GERVASI,3.719 €/m²,1.075.000 €,289 m²,https://www.pisos.com/comprar/casa-esplugues_de_llobregat_centro_urbano08950-45091753306_101800/,Anuncio actualizado el 07/10/2024,"E, D","E, D",baix_llobregat (BCN),289 m²,5,5,,,IF76842-SGER_2696,,Central,,N/A,,Propia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Esplugues de Llobregat,Engel & Völkers MMC Barcelona,10.195 €/m²,2.110.422 €,207 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-5171480941_109700/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),207 m²,4,3,,A estrenar,IF76306-D-0009PA,Frío y calor,,N/A,N/A,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Centre,Tecnocasa Castelldefels Valoración GRATUITA,3.257 €/m²,289.900 €,89 m²,https://www.pisos.com/comprar/piso-castelldefels_centre-49262366381_100200/,Anuncio actualizado el 18/01/2025,"F, E","F, E",baix_llobregat (BCN),89 m²,2,2,Entre 20 y 30 años,En buen estado,TC724-584670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Avinguda Diagonal, 38",FINCAS BELLAMAR,6.746 €/m²,850.000 €,126 m²,https://www.pisos.com/comprar/piso-montmar-42537095329_100500/,Anuncio actualizado el 20/02/2025,"B, A","B, A",baix_llobregat (BCN),126 m²,3,2,,En buen estado,SA2911-VC202412,Frío,,1,N/A,,Comunitaria,,1ª,,,,,N/A,,,N/A,,,,,,Cocina amueblada,,,,,,,,1,,,,,,,,,,,
Piso en Esplugues de Llobregat,Engel & Völkers MMC Barcelona,10.195 €/m²,2.110.422 €,207 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-5171480941_109700/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),207 m²,4,3,,A estrenar,IF76306-D-0009PA,Frío y calor,,N/A,N/A,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en El Torrent Ballester-Can Palmer-Can Batllori,Engel & Völkers MMC Barcelona,3.936 €/m²,373.980 €,95 m²,https://www.pisos.com/comprar/piso-el_torrent_ballester_can_palmer_can_batllori-5083220931_109700/,Anuncio actualizado el 23/01/2025,"B, A","B, A",baix_llobregat (BCN),95 m²,3,2,,A estrenar,IF76306-D-000LCM,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Sant Joan Despí,PREMIUM HOUSES,3.600 €/m²,720.000 €,200 m²,https://www.pisos.com/comprar/duplex-sant_joan_despi_centro_urbano08970-50039740618_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",baix_llobregat (BCN),200 m²,3,2,Entre 20 y 30 años,,SA1393-PH103075/3699,N/A,Gas natural,,N/A,,,178 m²,3ª,,Parquet,,,N/A,,,,N/A,,,,,,,,N/A,,,,,1,,,,N/A,,,,,,,
Piso en Corbera de Llobregat,GestServeis,1.798 €/m²,250.000 €,139 m²,https://www.pisos.com/comprar/piso-corbera_de_llobregat_centro_urbano-13346892953_101300/,Anuncio actualizado el 19/11/2024,"E, E","E, E",baix_llobregat (BCN),139 m²,3,2,,,API208-PCORJAU49,,N/A,,,,,109 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Vallirana,DON PISO ESPLUGUES DE LLOBREGAT,1.268 €/m²,340.000 €,268 m²,https://www.pisos.com/comprar/piso-vallirana_centro_urbano-42551352658_519066/,Anuncio actualizado el 20/02/2025,"E, E","E, E",baix_llobregat (BCN),268 m²,4,2,Entre 10 y 20 años,En buen estado,4519066-280391,,Gasoil,,,,,243 m²,Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en El Mas Ratés-La Montserratina-El Ginestar,Nova Viladecans Sl,3.343 €/m²,224.000 €,67 m²,https://www.pisos.com/comprar/piso-el_mas_rates_la_montserratina_el_ginestar-50920157080_100200/,Anuncio actualizado el 04/02/2025,"E, E","E, E",baix_llobregat (BCN),67 m²,2,1,Entre 20 y 30 años,En buen estado,TC1021-605859,,,,N/A,,,,,,,N/A,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Centre-Zona Estació-Passeig de Joan Maragall,Engel & Völkers MMC Barcelona,6.234 €/m²,399.000 €,64 m²,https://www.pisos.com/comprar/piso-centre_zona_estacio_passeig_de_joan_maragall-5121998086_109700/,Anuncio actualizado el 15/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),64 m²,2,1,,A estrenar,IF76306-D-000MJ9,Frío y calor,,N/A,,,,,,,Parquet,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Carretera de Cornellà,Neinor Homes,5.612 €/m²,303.100 €,54 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-50853513604_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),54 m²,2,1,,A estrenar,-2361,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
"Piso en Plaça Catalunya, 25",ESTRENUS,4.180 €/m²,255.000 €,61 m²,https://www.pisos.com/comprar/piso-vinyets_moli_vell-5103445323_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),61 m²,2,1,,A estrenar,4529415-21743208,,,N/A,N/A,,,,2ª,,Tarima flotante,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Estruch-Eixample,Estudi Les Moreres Sl,3.872 €/m²,333.000 €,86 m²,https://www.pisos.com/comprar/piso-estruch_eixample-51732008088_100200/,Anuncio actualizado el 20/02/2025,"E, E","E, E",baix_llobregat (BCN),86 m²,3,2,Entre 30 y 50 años,En buen estado,TC1142-606761,,,,,,,,2ª,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centre-Zona Estació-Passeig de Joan Maragall,Engel & Völkers MMC Barcelona,6.050 €/m²,599.000 €,99 m²,https://www.pisos.com/comprar/piso-centre_zona_estacio_passeig_de_joan_maragall-5152548339_109700/,Anuncio actualizado el 15/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),99 m²,3,2,,A estrenar,IF76306-D-000MJ9,Frío y calor,,N/A,N/A,,,,,,Parquet,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Dúplex en Centre-Zona Estació-Passeig de Joan Maragall,Durán Carasso,8.611 €/m²,1.550.000 €,180 m²,https://www.pisos.com/comprar/duplex-centre_zona_estacio_passeig_de_joan_maragall-44228275121_105600/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),180 m²,5,4,,,516966-5270,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sant Joan,FINQUES EL POBLE,1.866 €/m²,209.000 €,112 m²,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-45844674746_100500/,Anuncio actualizado el 14/02/2025,"G, G","G, G",baix_llobregat (BCN),112 m²,3,2,,En buen estado,SA4698-7410,Frío,Gas natural,,N/A,,,80 m²,1ª,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Molins de Rei,GEFI HOMES,2.583 €/m²,310.000 €,120 m²,https://www.pisos.com/comprar/piso-molins_de_rei_centro_urbano-48362652963_108500/,Anuncio actualizado el 04/11/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),120 m²,4,2,,,AG605-PIS0005,,Gas natural,,,,,110 m²,,,,,N/A,N/A,,,N/A,,,N/A,,,Individual,,,,,N/A,,,,,,N/A,,,,,,,,
Piso en Hospital,Comprarcasa NOVOA,2.789 €/m²,265.000 €,95 m²,https://www.pisos.com/comprar/piso-el_torrent_ballester_can_palmer_can_batllori-49255006925_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),95 m²,3,1,Entre 30 y 50 años,,SA5171-0071/11327,N/A,Central,1,N/A,,,78 m²,8ª,,Gres,N/A,,N/A,N/A,Sur,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,
Casa adosada en Can Roca-Muntanyeta,Forcadell Gavà,4.139 €/m²,1.250.000 €,302 m²,https://www.pisos.com/comprar/casa_adosada-can_roca_muntanyeta-47594320094_101800/,Anuncio actualizado el 23/09/2024,"E, E","E, E",baix_llobregat (BCN),302 m²,5,3,,,IF76847-GAV_2890,,Central,1,N/A,,Propia,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,Adosada,,,,,
"Dúplex en Carrer de Josep Fiter, 20",ESTRENUS,3.117 €/m²,318.000 €,102 m²,https://www.pisos.com/comprar/duplex-el_pedro-5161532786_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),102 m²,2,2,,A estrenar,4529415-21746448,,,,,,,,Bajo,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Barri Antic,VILAFINCAS ASOCIADOS,2.400 €/m²,204.000 €,85 m²,https://www.pisos.com/comprar/piso-eixample_centre_barri_antic-47578079202_100500/,Anuncio actualizado el 11/02/2025,"E, E","E, E",baix_llobregat (BCN),85 m²,3,2,Más de 50 años,,SA5067-PI-909-Bjo/2065,,Gas natural,,,,,74 m²,Bajo,,Gres,,N/A,N/A,,Sureste,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Jaume Abril, nº 00",NovaImmobiliaria,2.600 €/m²,208.000 €,80 m²,https://www.pisos.com/comprar/piso-el_torrent_ballester_can_palmer_can_batllori-45836444054_501711/,Anuncio actualizado el 20/02/2025,"E, E","E, E",baix_llobregat (BCN),80 m²,3,1,Más de 50 años,En buen estado,501711-VD722D,,,,,,,80 m²,2ª,Entre 40 y 60 €,Terrazo,,N/A,N/A,N/A,Sureste,N/A,,Aluminio,N/A,Aluminio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Gas natural,N/A,N/A,N/A,,,Endesa,,,,
Piso en Sant Vicenç dels Horts,TECNOCASA SANT VICENÇ DELS HORTS,1.616 €/m²,249.000 €,154 m²,https://www.pisos.com/comprar/piso-sant_vicenc_dels_horts_centro_urbano-49231193634_100200/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),154 m²,4,2,Entre 10 y 20 años,Reformado,TC499-503452,N/A,Central,,N/A,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Sant Vicenç dels Horts,TECNOCASA SANT VICENÇ DELS HORTS,2.515 €/m²,244.000 €,97 m²,https://www.pisos.com/comprar/piso-sant_vicenc_dels_horts_centro_urbano-51683737365_100200/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),97 m²,4,1,Más de 50 años,En buen estado,TC499-608207,,,,N/A,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de Joan Carles I,PISAZOS.COM,3.100 €/m²,331.800 €,107 m²,https://www.pisos.com/comprar/piso-les_bobiles_avinguda_diagonal_les_colomeres-50898148102_997902/,Anuncio actualizado el 13/02/2025,"E, E","E, E",baix_llobregat (BCN),107 m²,4,2,Entre 20 y 30 años,En buen estado,4997902-25001,Frío,Gas natural,1,,,,107 m²,1ª,,Terrazo,,N/A,N/A,N/A,Sur,N/A,,Haya,N/A,Aluminio,,Office,N/A,N/A,,N/A,,,,,N/A,,,,,,,,,,
Casa adosada en Carrer Vídua Vives,OPENLLAR SERVEIS IMMOBILIARIS,2.830 €/m²,424.500 €,150 m²,https://www.pisos.com/comprar/casa_adosada-vinyets_moli_vell-44200733412_100500/,Anuncio actualizado el 19/02/2025,"D, D","D, D",baix_llobregat (BCN),150 m²,4,2,Entre 30 y 50 años,,SA1019-OP24_SB_VV_4/3968,N/A,Gas natural,,N/A,N/A,Comunitaria,115 m²,,,Gres,N/A,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,
"Piso en calle Pepe Samitier,  6",REALIA BUSINESS S.A.,4.574 €/m²,388.800 €,85 m²,https://www.pisos.com/comprar/piso-sant_joan_despi_centro_urbano08970-4603289881_109700/,Anuncio actualizado el 07/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),85 m²,2,2,,A estrenar,-99983,,,N/A,N/A,,,,Bajo,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Esparreguera,MAREUS,3.106 €/m²,205.000 €,66 m²,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-50086395635_991098/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),66 m²,2,1,Más de 50 años,Reformado,4991098-1559,Frío y calor,,1,,Privado,,66 m²,,,,,,,,,,,,,,,N/A,N/A,,,,,555 m²,N/A,,,,,,N/A,,,N/A,,,
Piso en Montmar,DEXTRA PISOS,4.640 €/m²,580.000 €,125 m²,https://www.pisos.com/comprar/piso-montmar-50928975679_500567/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),125 m²,4,2,Entre 30 y 50 años,En buen estado,500567-41061N,Frío,Gas natural,,18,,,116 m²,1ª,150 €  agua incluida  / mes,Parquet,N/A,,,,Oeste,N/A,,Madera,,Madera,,9,24,,,,N/A,,,,,3.65,,,,,,,,,
Piso en Esplugues de Llobregat,Engel & Völkers MMC Barcelona,10.515 €/m²,2.176.755 €,207 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-4993926768_109700/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),207 m²,4,3,,A estrenar,IF76306-D-0009PA,Frío y calor,,N/A,N/A,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en calle Ciudad Cooperativa,INMOBILIARIA INMOSANTBOI,2.409 €/m²,132.500 €,55 m²,https://www.pisos.com/comprar/piso-ciutat_cooperativa_moli_nou-30836742759_996222/,Anuncio actualizado el 18/02/2025,"D, E","D, E",baix_llobregat (BCN),55 m²,3,1,Más de 50 años,En buen estado,4996222-7026,Frío y calor,Eléctrica,,,,,48 m²,4ª,Entre 10 y 20 €,Gres,,,,N/A,,N/A,N/A,,,Aluminio,,N/A,N/A,,,,,,,,N/A,N/A,,,,,,,,,
Piso en El Torrent Ballester-Can Palmer-Can Batllori,Engel & Völkers MMC Barcelona,3.936 €/m²,373.980 €,95 m²,https://www.pisos.com/comprar/piso-el_torrent_ballester_can_palmer_can_batllori-5083220931_109700/,Anuncio actualizado el 23/01/2025,"B, A","B, A",baix_llobregat (BCN),95 m²,3,2,,A estrenar,IF76306-D-000LCM,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Begues,"FELIU FRANQUESA, S.L.",1.837 €/m²,735.000 €,400 m²,https://www.pisos.com/comprar/casa-begues_centro_urbano-43333595735_101300/,Anuncio actualizado el 31/01/2025,"E, E","E, E",baix_llobregat (BCN),400 m²,7,4,Entre 20 y 30 años,,API277-3539,,N/A,,,,,350 m²,,,,,,N/A,,4 vientos,,,,,,,,,,,,,,,,,N/A,,,,,,,,,
Chalet en calle Maestra Dolors Barcelo De,HOLA BOUTIQUE BY NOVA LLAR,4.083 €/m²,2.450.000 €,600 m²,https://www.pisos.com/comprar/chalet-esplugues_de_llobregat_centro_urbano08950-48376510837_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),600 m²,6,6,Entre 30 y 50 años,,SA5631-CHALET/11595,N/A,N/A,1,N/A,N/A,,552 m²,,,Parquet,N/A,N/A,,,,,,,,,N/A,,N/A,,,,,600 m²,N/A,1,,,,N/A,N/A,,,,,,
"Piso en Carrer d'En Domènec, 32",ESTRENUS,4.971 €/m²,348.000 €,70 m²,https://www.pisos.com/comprar/piso-sant_joan_despi_centro_urbano08970-5147707306_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),70 m²,3,2,,A estrenar,4529415-21744506,,,,,,,,1ª,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Barcelona,FINQUES EL POBLE,2.270 €/m²,227.000 €,100 m²,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-50931851386_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),100 m²,4,2,,En buen estado,SA4698-7451,,,,,,,,2ª,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Vallirana,Engel & Völkers MMC Barcelona,3.282 €/m²,203.493 €,62 m²,https://www.pisos.com/comprar/piso-vallirana_centro_urbano-5045498461_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),62 m²,2,2,,A estrenar,IF76306-D-000LNI,Frío y calor,,N/A,N/A,,,,,,Parquet,N/A,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
