nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Gastos de comunidad,Referencia,Carpintería exterior,Gas,Calefacción,Lavadero,Balcón,Orientación,Superficie solar,Amueblado,Armarios empotrados,Vidrios dobles,Tipo suelo,Teléfono,Aire acondicionado,Chimenea,Cocina equipada,Comedor,Garaje,Puerta blindada,Sistema de seguridad,Terraza,Jardín,Piscina,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Ascensor,Agua,Soleado,Carpintería interior,Portero automático,Adaptado a personas con movilidad reducida,Luz,Trastero,Tipo de casa,Interior,No se aceptan mascotas
Casa en Pinemar,PREMIUM HOUSES,1.442 €/m²,479.000 €,332 m²,https://www.pisos.com/comprar/casa-pinemar-15842497869_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),332 m²,301 m²,4,3,,,Entre 20 y 30 años,,,SA1393-PH101522/3699,,,Gas natural,,,,416 m²,,1,,Gres,,N/A,N/A,,N/A,,,,,,Propia,,,,,,,,,,,,,,,
Casa en Supermaresme,PREMIUM HOUSES,4.297 €/m²,3.000.000 €,698 m²,https://www.pisos.com/comprar/casa-sant_vicenc_de_montalt_centro_urbano-37599952473_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),698 m²,600 m²,5,3,,,,,,SA1393-PH102733/3699,,,N/A,,,Sureste,4.204 m²,,1,,Parquet,N/A,,N/A,,,1,N/A,N/A,,N/A,Propia,,,,,,N/A,,,,,,,,,
Casa en Carrer del Riu Llobregat,BLANES HOUSE,2.592 €/m²,350.000 €,135 m²,https://www.pisos.com/comprar/casa-urbanitzacions_niagara_parc_agora_parc_roca_rossa0-44235966882_501585/,Anuncio actualizado el 16/02/2025,"F, E","F, E",maresme (BCN),135 m²,110 m²,3,1,,,Entre 30 y 50 años,En buen estado,,501585-004339,Aluminio,,,N/A,,A la montaña,820 m²,,,N/A,Gres,,Frío y calor,N/A,N/A,N/A,2,,,N/A,Privado,Propia,N/A,N/A,N/A,N/A,,,,N/A,,,,,,,
Casa adosada en Carrer d'Ignasi Iglesias,homellar,1.557 €/m²,355.000 €,228 m²,https://www.pisos.com/comprar/casa_adosada-pineda_de_mar_centre-48402715900_100500/,Anuncio actualizado el 08/10/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),228 m²,215 m²,4,3,,,Entre 20 y 30 años,,,SA2051-ULLPVCas0247/7494,,,Gas natural,,,Norte,,,,,Gres,,N/A,,,,1,,,N/A,N/A,,,,,,,N/A,,,,,,,Adosada,,
Casa en Tordera,PREMIUM HOUSES,1.038 €/m²,490.000 €,472 m²,https://www.pisos.com/comprar/casa-tordera_nucli_urba-35925787294_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),472 m²,432 m²,4,3,,,Entre 30 y 50 años,,,SA1393-PH102741/3699,,,Gas natural,,,,252 m²,,1,,,,N/A,N/A,,,1,,,,N/A,N/A,,,,,,N/A,,,,,,,,,
Piso en Ronda Cervantes,CINTO FURQUET SERVEIS INMOBILIARIS,1.986 €/m²,149.000 €,75 m²,https://www.pisos.com/comprar/piso-el_palau-37549349786_517255/,Anuncio actualizado el 12/02/2025,"G, G","G, G",maresme (BCN),75 m²,75 m²,3,1,4ª,N/A,Más de 50 años,En buen estado,,517255-MTR180923,Aluminio,N/A,Gas natural,N/A,N/A,,,,1,N/A,Terrazo,N/A,,,Office,Con salida a balcón,,N/A,,,,,,,,,,,N/A,Cerezo,,,,,,,
Casa adosada en -,INMOBILIARIA ACESAL,1.735 €/m²,550.000 €,317 m²,https://www.pisos.com/comprar/casa_adosada-santa_susanna_centro_urbano-50023771440_109300/,Anuncio actualizado el 12/02/2025,"D, C","D, C",maresme (BCN),317 m²,,4,4,,,,,,EP1057-138C8779,,,Gas ciudad,N/A,,,,N/A,N/A,,,,N/A,,N/A,,N/A,,,N/A,N/A,N/A,,,,,N/A,,,,,,,,Adosada,,
Finca rústica en Cañamars,PREMIUM HOUSES,7 €/m²,1.100.000 €,1.356 m²,https://www.pisos.com/comprar/finca_rustica-dosrius_centro_urbano-45846357632_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",maresme (BCN),1.356 m²,460 m²,6,4,,,,,,SA1393-PH103111/3699,,,N/A,,,Sur,138.000 m²,,,,,,,N/A,,N/A,1,,,N/A,,Propia,,,,,,N/A,,,,,,,,,
Casa adosada en Urb. Can Quirze,PREMIUM HOUSES,2.852 €/m²,930.000 €,326 m²,https://www.pisos.com/comprar/casa_adosada-can_quirze-39206067886_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),326 m²,325 m²,4,4,,,,,,SA1393-PH102912/3699,,,,,,,442 m²,,1,,,N/A,N/A,N/A,,N/A,1,,N/A,,N/A,N/A,,,,,,N/A,,,,,,,Adosada,,
Piso en Ronda de Jaume Ferran,INMOAGENCE MATARO,1.916 €/m²,230.000 €,120 m²,https://www.pisos.com/comprar/piso-mataro_cirera-50000490006_100500/,Anuncio actualizado el 17/02/2025,"E, E","E, E",maresme (BCN),120 m²,110 m²,4,2,2ª,N/A,Más de 50 años,En buen estado,,SA5717-3911,,,,,,,,,1,,,,Frío,,Cocina equipada,,,,,N/A,,,,,,,,,,,,,,,,,
Chalet en Mas Mora,UN LLOC PER VIURE,2.367 €/m²,490.000 €,207 m²,https://www.pisos.com/comprar/chalet-urbanitzacions_el_mas_mora_sant_daniel_blanes_mar-31709949636_100500/,Anuncio actualizado el 16/07/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),207 m²,175 m²,4,3,,,Entre 20 y 30 años,,,SA2058-VH00366200/3449,,,Gas natural,,,Noreste,453 m²,,,,Parquet,,,,,N/A,1,,,N/A,N/A,Propia,N/A,,,,,N/A,,,,,,N/A,,,
Apartamento en A Tocar de L'esglesia,FIRHABIT,3.319 €/m²,239.000 €,72 m²,https://www.pisos.com/comprar/apartamento-arenys_de_mar_centro_urbano-40882026175_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),72 m²,,2,1,Bajo,N/A,Menos de 5 años,A estrenar,,SA1305-PV0968,,,,,,,,,,N/A,Gres,,,,Cocina americana,,,,,,,,,,,,,,,,,N/A,,,,,
Casa en Plaça del Rei,UN LLOC PER VIURE,1.504 €/m²,495.000 €,329 m²,https://www.pisos.com/comprar/casa-pineda_de_mar_centre-50890915035_100500/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),329 m²,317 m²,5,3,,,Entre 30 y 50 años,,,SA2058-HM-511/3449,,,,,,,,,1,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,
Casa en Avinguda dels Arbres,ADAIX PROMOBAY,2.050 €/m²,410.000 €,200 m²,https://www.pisos.com/comprar/casa-palafolls_centro_urbano-49170383281_528456/,Anuncio actualizado el 09/11/2024,"D, D","D, D",maresme (BCN),200 m²,170 m²,5,2,,,Entre 10 y 20 años,En buen estado,,4528456-000002,Aluminio,,Gasoil,N/A,,Este,749 m²,N/A,,N/A,Gres,,Placas solares,,N/A,N/A,,,,N/A,Privado,Propia,,,,,,,,N/A,,,,,,,
Finca rústica en Zona Sant Daniel,UN LLOC PER VIURE,36 €/m²,850.000 €,2.732 m²,https://www.pisos.com/comprar/finca_rustica-tordera_nucli_urba-39204755804_100500/,Anuncio actualizado el 16/07/2024,"E, E","E, E",maresme (BCN),2.732 m²,,4,2,,,,,,SA2058-ULLPVMas0051/3449,,,N/A,,,,23.000 m²,,,,Gres,,,N/A,,,,,N/A,N/A,,Propia,,,,,,N/A,,,,,,,,,
Casa en Centro,PREMIUM HOUSES,4.400 €/m²,2.275.000 €,517 m²,https://www.pisos.com/comprar/casa-centre_urba-50903051095_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),517 m²,407 m²,5,6,,,Menos de 5 años,,,SA1393-PH102981/3699,,,N/A,,,Sureste,2.898 m²,,1,,,N/A,N/A,,,,1,N/A,N/A,N/A,N/A,Propia,,,,,,N/A,,,,,,N/A,,,
Piso en Centre,Engel & Völkers MMC Barcelona,2.819 €/m²,265.000 €,94 m²,https://www.pisos.com/comprar/piso-pineda_de_mar_centre-5178674944_109700/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),94 m²,,3,2,1ª,,,A estrenar,,IF76306-D-000LP5,,,,,N/A,Al mar,,,,,,,Frío y calor,,N/A,,N/A,,,N/A,,,,,,,,,,,,N/A,,,,,
Piso en Nou Premia,URBAN LLARS,1.888 €/m²,170.000 €,90 m²,https://www.pisos.com/comprar/piso-premia_de_mar_centro_urbano-43342685424_100500/,Anuncio actualizado el 07/06/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),90 m²,88 m²,2,1,Bajo,,,,,SA5026-0195/5781,,,,,N/A,,,,,,Parquet,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Piso en Centre,PREMIUM HOUSES,2.146 €/m²,425.000 €,198 m²,https://www.pisos.com/comprar/piso-mataro_centre08301-92555926865_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),198 m²,168 m²,5,2,,,Entre 30 y 50 años,En buen estado,,-W-00CJ3B/3699,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Piso en Havana,URBAN LLARS,2.000 €/m²,140.000 €,70 m²,https://www.pisos.com/comprar/piso-el_palau08304-50006656808_100500/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),70 m²,60 m²,2,1,Bajo,,Más de 50 años,,,SA5026-0248/5781,,,,,,,,,,,Parquet,,,,,,,,,,,,,,,,,N/A,,,,,,,,,
Casa en Sant Genis de Palafolls,PREMIUM HOUSES,1.577 €/m²,355.000 €,225 m²,https://www.pisos.com/comprar/casa-palafolls_centro_urbano-42539157109_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),225 m²,192 m²,4,4,,,Entre 10 y 20 años,,,SA1393-PH103027/3699,,,Gas natural,,,,745 m²,,1,,,,,,,N/A,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,
Chalet en Premià de Dalt,GESTILLAR,Error al procesar precio m²,800.000 €,4,https://www.pisos.com/comprar/chalet-premia_de_dalt_centro_urbano-51700660992_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),,,4,3,,,,,,AG560-10973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Pla D en Boet,URBAN LLARS,2.303 €/m²,235.000 €,102 m²,https://www.pisos.com/comprar/piso-pla_en_boet08302-49244168035_100500/,Anuncio actualizado el 20/11/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),102 m²,,4,2,5ª,,Entre 30 y 50 años,,,SA5026-0264/5781,,,Gas natural,,N/A,Oeste,,,,,Terrazo,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Chalet en Sant Berger,PUNT IMMOBILIARI - PREMIA,2.068 €/m²,790.000 €,382 m²,https://www.pisos.com/comprar/chalet-premia_de_dalt_centro_urbano-43395118209_500694/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),382 m²,250 m²,5,3,,,Entre 30 y 50 años,En buen estado,,500694-001501,Madera,N/A,Gas natural,N/A,,Suroeste,1.004 m²,,Más de 2,,Gres,,,N/A,Office equipada,N/A,2,,N/A,N/A,Privado,Propia,,,,,,,,De roble,,,,,,,
Finca rústica en Fogars de La Selva,PREMIUM HOUSES,53 €/m²,399.000 €,232 m²,https://www.pisos.com/comprar/finca_rustica-fogars_de_la_selva_centro_urbano-19196774545_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),232 m²,200 m²,4,1,,,,,,SA1393-PH101752/3699,,,N/A,,,,7.500 m²,,,,Tarima maciza,,N/A,N/A,,N/A,1,,,,,,,,,,,N/A,,,,,,,,,
Casa adosada en Carrer d'Emili Vendrell,HABIGEST GIRONA SL.,1.328 €/m²,293.500 €,221 m²,https://www.pisos.com/comprar/casa_adosada-can_nadal_sant_pere-50867769419_501615/,Anuncio actualizado el 16/01/2025,"E, E","E, E",maresme (BCN),221 m²,200 m²,6,3,,,Más de 50 años,En buen estado,,501615-001029,,N/A,Gas natural,N/A,,,,,,,,,Frío y calor,,,,1,,,N/A,,,,,,,,,,,,,,,Adosada,,
Chalet en Alella,SETCLAUS ALELLA,2.956 €/m²,890.000 €,301 m²,https://www.pisos.com/comprar/chalet-alella_centro_urbano-47560619399_108900/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),301 m²,,6,4,,,,,,XA602-9068,,,Gas natural,,,,,,,,,,Frío y calor,N/A,12m  ofice,,2,N/A,,N/A,,Propia,,,,,,N/A,,,,,,N/A,,,
Casa en Sant Pere,homellar,1.466 €/m²,198.000 €,135 m²,https://www.pisos.com/comprar/casa-can_nadal_sant_pere-51677439322_100500/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),135 m²,90 m²,4,3,,,,,,SA2051-TORDERA-CAS03/7494,,,Gas natural,,,,,,1,,,,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,
Casa en Sant Berger,PREMIUM HOUSES,3.471 €/m²,2.600.000 €,749 m²,https://www.pisos.com/comprar/casa-teia_centro_urbano-21682591167_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",maresme (BCN),749 m²,659 m²,6,5,,,Entre 20 y 30 años,,,SA1393-PH101753/3699,,,Gas natural,,,,1.700 m²,N/A,1,,Parquet,,N/A,,,,1,,,,,Propia,,,,,,,,,,,,,,,
Dúplex en Centro,TOP HOUSE CONSULTING,3.611 €/m²,520.000 €,144 m²,https://www.pisos.com/comprar/duplex-arenys_de_mar_centro_urbano-50897648587_108900/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),144 m²,128 m²,3,3,2ª,N/A,,,Entre 20 y 40 €,XA722-1205,,,,,,,,,,,,,,,Abierta,,,N/A,,N/A,,,,,,,N/A,N/A,,,,,,N/A,,,
Casa en Sant Cebrià de Vallalta,PREMIUM HOUSES,3.156 €/m²,950.000 €,301 m²,https://www.pisos.com/comprar/casa-sant_cebria_de_vallalta_centro_urbano-92559609796_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),301 m²,178 m²,4,3,,,Entre 5 y 10 años,En buen estado,,-W-0297F6/3699,,,,,,,871 m²,,,,,,,,,,1,,,,,,,,,,,N/A,,,,,,,,,
Casa en Golf,PREMIUM HOUSES,3.221 €/m²,1.195.000 €,371 m²,https://www.pisos.com/comprar/casa-sant_vicenc_de_montalt_centro_urbano-48398487171_100500/,Anuncio actualizado el 20/02/2025,"A, A","A, A",maresme (BCN),371 m²,350 m²,5,4,,,Entre 10 y 20 años,,,SA1393-PH103257/3699,,,N/A,,,Sureste,807 m²,,,,,N/A,N/A,N/A,,,1,N/A,N/A,N/A,N/A,Propia,,,,,,N/A,,,,,,N/A,,,
Casa en Calella,PREMIUM HOUSES,919 €/m²,585.000 €,636 m²,https://www.pisos.com/comprar/casa-calella_centro_urbano08370-92513565569_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),636 m²,635 m²,,1,,,Más de 50 años,,,SA1393-W-02ERNB/3699,,,,,,,1.507 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Cerdanyola Sud,HOGAREÑOS,1.853 €/m²,152.000 €,82 m²,https://www.pisos.com/comprar/piso-cerdanyola_sud08303-44235612757_525213/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),82 m²,74 m²,3,1,1ª,N/A,Más de 50 años,En buen estado,35,525213-152VJ,Aluminio,,,N/A,N/A,Sur,,,,,Gres,,,,N/A,N/A,,,,,,,,,,N/A,,,,,,,,,,,
Casa en Ibars Meia,PREMIUM HOUSES,3.904 €/m²,945.000 €,242 m²,https://www.pisos.com/comprar/casa-alella_centro_urbano-50045875456_100500/,Anuncio actualizado el 20/02/2025,"D, D","D, D",maresme (BCN),242 m²,180 m²,4,3,,,Más de 50 años,,,SA1393-PH103233/3699,,,Gas natural,,,Sureste,344 m²,,1,,,N/A,N/A,N/A,,N/A,1,N/A,,N/A,N/A,,,,,,,N/A,,,,,,N/A,,,
Casa en Mas Mora,PREMIUM HOUSES,1.540 €/m²,385.000 €,250 m²,https://www.pisos.com/comprar/casa-urbanitzacions_el_mas_mora_sant_daniel_blanes_mar-37529369559_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",maresme (BCN),250 m²,230 m²,4,3,,,Entre 20 y 30 años,,,SA1393-PH102810/3699,,,Gas natural,,,,400 m²,,1,,,,N/A,N/A,,,1,,N/A,,N/A,,,,,,,,,,,,,,,,
Casa adosada en Barrio Sant Luis,PREMIUM HOUSES,1.735 €/m²,335.000 €,193 m²,https://www.pisos.com/comprar/casa_adosada-palafolls_centro_urbano-48373032536_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),193 m²,164 m²,4,3,,,,,,SA1393-PH103247/3699,,,Gas natural,,,,,,,,,,,,,,1,,,N/A,,,,,,,,N/A,,,,,,,Adosada,,
Casa en Centro,UN LLOC PER VIURE,1.431 €/m²,599.900 €,419 m²,https://www.pisos.com/comprar/casa-malgrat_de_mar_centro_urbano-38371876359_100500/,Anuncio actualizado el 16/07/2024,"F, G","F, G",maresme (BCN),419 m²,,8,9,,,Más de 50 años,,,SA2058-PA1123/3449,,,N/A,,,,,,,,Gres,,,,,,1,,,N/A,,Propia,,,,,,,,,,,,,,,
Ático en Club Nàutic,PUNT IMMOBILIARI - PREMIA,4.365 €/m²,550.000 €,126 m²,https://www.pisos.com/comprar/atico-premia_de_mar_centro_urbano-44238820619_500694/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),126 m²,110 m²,4,2,6ª,N/A,Más de 50 años,En buen estado,,500694-001514,Aluminio,N/A,Gas natural,N/A,,Sureste,,,Más de 2,N/A,Gres,,,N/A,Office equipada,N/A,,N/A,,N/A,,,,,,,N/A,,N/A,De roble,N/A,,,N/A,,,
Casa en Mar y Montaña,PREMIUM HOUSES,2.016 €/m²,2.500.000 €,1.240 m²,https://www.pisos.com/comprar/casa-alella_centro_urbano-46743800504_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),1.240 m²,,4,3,,,Más de 50 años,,,SA1393-PH103192/3699,,,Gas natural,,,Sureste,1.451 m²,,,,,N/A,,N/A,,,1,,,N/A,N/A,,,,,,,N/A,,,,,,N/A,,,
Casa en Centro,PREMIUM HOUSES,2.558 €/m²,499.000 €,195 m²,https://www.pisos.com/comprar/casa-mataro_centre08302-18347233539_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),195 m²,194 m²,3,2,,,Entre 10 y 20 años,,,SA1393-PH101703/3699,,,Gas natural,,,Sureste,60 m²,,,,Parquet,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Centro,URBAN LLARS,3.454 €/m²,380.000 €,110 m²,https://www.pisos.com/comprar/duplex-premia_de_mar_centro_urbano-46715600229_100500/,Anuncio actualizado el 07/08/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),110 m²,100 m²,4,3,Bajo,,,,,SA5026-0219/5781,,,Gas natural,,N/A,Sur,,,,,,,N/A,,,,,,N/A,N/A,,,,,,,N/A,,,,,,,N/A,,,
Casa en Ocata,PREMIUM HOUSES,3.406 €/m²,620.000 €,182 m²,https://www.pisos.com/comprar/casa-el_masnou_centro_urbano-50089043148_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",maresme (BCN),182 m²,,4,3,,,Entre 30 y 50 años,,,SA1393-PH103319/3699,,,Gas natural,,,Sureste,,,1,,Parquet,,N/A,,,N/A,1,N/A,,,,,,,,,,N/A,,,,,,,,,
Chalet en Santa Susanna,FINQUES MRS,1.737 €/m²,695.000 €,400 m²,https://www.pisos.com/comprar/chalet-santa_susanna_centro_urbano-16744250289_108500/,Anuncio actualizado el 16/02/2025,"E, E","E, E",maresme (BCN),400 m²,250 m²,5,5,,,,,,AG143-CHA0659,,,Gas natural,,,Sur,,,,N/A,Gres,,,,Individual,,,N/A,,No acristalada,N/A,Privada,,,,,,,,,,,,N/A,,,
Casa en Ciutat Villa Jardí,PREMIUM HOUSES,2.444 €/m²,990.000 €,405 m²,https://www.pisos.com/comprar/casa-el_masnou_centro_urbano-48398271492_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",maresme (BCN),405 m²,200 m²,5,5,,,Más de 50 años,,,SA1393-PH103266/3699,,,N/A,,,,1.000 m²,,,,,N/A,N/A,N/A,,,1,,,N/A,N/A,Propia,,,,,,N/A,,,,,,N/A,,,
Piso en Centre,Engel & Völkers MMC Barcelona,2.770 €/m²,277.000 €,100 m²,https://www.pisos.com/comprar/piso-pineda_de_mar_centre-5242172160_109700/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),100 m²,,3,2,2ª,,,A estrenar,,IF76306-D-000LP5,,,,,N/A,Al mar,,,,,,,Frío y calor,,N/A,,N/A,,,N/A,,,,,,,,,,,,N/A,,,,,
"Piso en Ronda de Joan Peiró,  s/n",URBENIA,3.636 €/m²,280.000 €,77 m²,https://www.pisos.com/comprar/piso-mataro_cirera-4765800632_109700/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),77 m²,,3,2,2ª,,,A estrenar,,EP1014-21404441,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Casa adosada en Tiana,Engel & Völkers MMC Barcelona,3.125 €/m²,1.050.000 €,336 m²,https://www.pisos.com/comprar/casa_adosada-tiana_centro_urbano08391-4846843252_109700/,Anuncio actualizado el 18/12/2024,"A, A","A, A",maresme (BCN),336 m²,,5,4,,,,A estrenar,,IF76306-D-000HAK,Aluminio,,,,,,,,Más de 2,,Parquet,,Frío y calor,,N/A,,N/A,,,N/A,Privado,,,,,,,,,,,,,,Adosada,,
Casa en Can Bergay,PREMIUM HOUSES,2.377 €/m²,1.070.000 €,450 m²,https://www.pisos.com/comprar/casa-cabrils_centro_urbano-35921890692_100500/,Anuncio actualizado el 20/02/2025,"E, D","E, D",maresme (BCN),450 m²,400 m²,5,3,,,Entre 10 y 20 años,,,SA1393-W-00K8NV/3699,,,N/A,,,Noreste,800 m²,,1,,,,N/A,N/A,,,1,N/A,N/A,,N/A,Propia,,,,,,N/A,,,,,,N/A,,,
Casa en Fibracolor,homellar,3.353 €/m²,275.000 €,82 m²,https://www.pisos.com/comprar/casa-tordera_nucli_urba-48371754355_100500/,Anuncio actualizado el 04/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),82 m²,,3,1,,,Más de 50 años,,,SA2051-FI-231/7494,,,N/A,,,,448 m²,,,,Gres,,,,,,1,,,N/A,N/A,,,,,,,N/A,,,,,,,,,
Casa en Arenys Residencial,PREMIUM HOUSES,3.235 €/m²,1.100.000 €,340 m²,https://www.pisos.com/comprar/casa-arenys_de_munt_centro_urbano-17581856534_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),340 m²,270 m²,9,5,,,,,,SA1393-PH101562/3699,,,Gas natural,,,Sureste,599 m²,,1,,,,,N/A,,N/A,,,,N/A,,Propia,,,,,,N/A,,,,,,,,,
Piso en Malgrat de Mar,Flamat Malgrat de Mar,2.013 €/m²,149.000 €,74 m²,https://www.pisos.com/comprar/piso-malgrat_de_mar_centro_urbano-49257704369_100500/,Anuncio actualizado el 13/02/2025,"E, E","E, E",maresme (BCN),74 m²,66 m²,3,1,3ª,N/A,Más de 50 años,En buen estado,,SA5694-VL149,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer Pio Baroja,Finques LM,1.558 €/m²,240.000 €,154 m²,https://www.pisos.com/comprar/casa-urbanitzacions_terrabrava_tordera_parc-51694289636_501491/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),154 m²,,2,1,,,Entre 30 y 50 años,En buen estado,,501491-716,Aluminio,,,,,Sureste,541 m²,,,,,,Frío,,N/A,N/A,Más de 2,,,N/A,Privado,Propia,N/A,N/A,N/A,N/A,,,,,,,,,,,
Piso en Arenys de Mar,FINQUES LA RIERA,3.011 €/m²,265.000 €,88 m²,https://www.pisos.com/comprar/piso-arenys_de_mar_centro_urbano-46742491322_100500/,Anuncio actualizado el 06/11/2024,"E, E","E, E",maresme (BCN),88 m²,80 m²,3,2,1ª,,Entre 30 y 50 años,,Entre 60 y 80 €,SA1488-P-479/6526,,,Gas natural,,N/A,Oeste,,,1,,Parquet,,N/A,,,,,,,,,,,,,,N/A,N/A,,,,,,N/A,,,
Casa en Can Valls,PREMIUM HOUSES,3.978 €/m²,1.695.000 €,426 m²,https://www.pisos.com/comprar/casa-cabrils_centro_urbano-31765893309_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),426 m²,388 m²,5,4,,,Más de 50 años,,,SA1393-PH102467/3699,,,Gas natural,,,Este,3.465 m²,,1,,Parquet,N/A,N/A,N/A,,N/A,1,N/A,,,N/A,Propia,,,,,,N/A,,,,,,,,,
Casa en Fibracolor,ARCO 2,3.353 €/m²,275.000 €,82 m²,https://www.pisos.com/comprar/casa-tordera_nucli_urba-48391228071_100500/,Anuncio actualizado el 04/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),82 m²,,3,1,,,Más de 50 años,,,SA2067-FI-231/7493,,,N/A,,,,448 m²,,,,Gres,,,,,,1,,,N/A,N/A,,,,,,,N/A,,,,,,,,,
Casa en Urb. Can Bruguera,PREMIUM HOUSES,3.850 €/m²,1.390.000 €,361 m²,https://www.pisos.com/comprar/casa-altres_urbanitzacions08304-48359000331_100500/,Anuncio actualizado el 20/02/2025,"E, F","E, F",maresme (BCN),361 m²,360 m²,6,3,,,Entre 30 y 50 años,,,SA1393-PH103235/3699,,,N/A,,,Sur,3.309 m²,,,,Parquet,,N/A,N/A,,N/A,1,,,N/A,N/A,,,,,,,,,,,,,,,,
Casa adosada en Montgat,SETCLAUS ALELLA,2.388 €/m²,907.500 €,380 m²,https://www.pisos.com/comprar/casa_adosada-montgat_centro_urbano-24238357014_108900/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),380 m²,202 m²,4,4,,,,A estrenar,,XA602-8225,,,,,,,,,,,,,,,N/A,,2,N/A,,N/A,,Propia,,,,,,N/A,,,,,,,Adosada,,
