nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Planta,Conservación,Referencia,Ascensor,Terraza,Superficie útil,Exterior,Antigüedad,Gastos de comunidad,Carpintería interior,Tipo suelo,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Lavadero,Balcón,Orientación,Garaje,Piscina,Armarios empotrados,Vidrios dobles,Puerta blindada,Urbanizado,Calle alumbrada,Calle asfaltada,Agua,Superficie solar,Trastero,Jardín,Sistema de seguridad,Soleado,Se aceptan mascotas,Chimenea,Portero automático,Adaptado a personas con movilidad reducida,Interior,Tipo de casa,Teléfono,Amueblado,Luz,No se aceptan mascotas
Piso en Can Rull,GESTILLAR,2.809 €/m²,295.000 €,105 m²,https://www.pisos.com/comprar/piso-can_rull08206-48336374021_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),105 m²,3,2,,,AG560-10957,N/A,No acristalada,82 m²,N/A,,,,,,,N/A,,Americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Avinguda Via Augusta,SUSANA REVERTE,5.000 €/m²,450.000 €,90 m²,https://www.pisos.com/comprar/atico-can_mates_volpelleres08174-50925704242_437300/,Anuncio actualizado el 20/02/2025,"B, A","B, A",valles_occidental_sud (BCN),90 m²,2,2,4ª,En buen estado,4373-2540004,N/A,9m²,72 m²,N/A,Entre 10 y 20 años,,Madera,Parquet,Aluminio,N/A,Frío y calor,Gas natural,Independiente,22m²,,,Este,,Comunitaria,1,N/A,N/A,,,,,,N/A,Comunitario,,N/A,,,N/A,N/A,,,,,,
"Piso en Carrer de Cantabria, 20",AEDAS HOMES,2.438 €/m²,256.000 €,105 m²,https://www.pisos.com/comprar/piso-barbera_del_valles_centro_urbano-5251944110_109700/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),105 m²,3,2,1ª,A estrenar,-a0P1v00000yhXdGEAU,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en Carrer de Celrà, 6",Macarena Camacho,2.421 €/m²,339.000 €,140 m²,https://www.pisos.com/comprar/chalet-sant_muc_castellnou_can_mir-50060395575_108700/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_sud (BCN),140 m²,5,2,,,UVC616-30623,,N/A,140 m²,,Entre 20 y 30 años,,,,,,,N/A,,,,,,,,,,,,,,,490 m²,,N/A,,,,,,,,,,,,
Piso en Can Clos-Els Pinetons,ASSESSORAMENT I GESTIO FINCAS ELMOLI,3.477 €/m²,313.000 €,90 m²,https://www.pisos.com/comprar/piso-can_clos_els_pinetons08291-45060713709_521602/,Anuncio actualizado el 18/02/2025,"E, E","E, E",valles_occidental_sud (BCN),90 m²,3,2,Bajo,En buen estado,4521602-SRN-1,N/A,N/A,80 m²,N/A,Entre 10 y 20 años,,N/A,Parquet,Aluminio,N/A,Frío,Gas natural,Con galeria y salida a terraza,Con salida a terraza,Anexo a cocina,,Este,1,Comunitaria,,Doble cristal climalit,N/A,,,,,,N/A,,,N/A,,,,N/A,,,,,,
Piso en Can Rull,GESTILLAR,3.016 €/m²,187.000 €,62 m²,https://www.pisos.com/comprar/piso-can_rull08206-48412709563_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),62 m²,2,1,,,AG560-10956,N/A,,52 m²,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Plaça de la Cerdanya, 3","ONE EXPERTOS GESTION INMOBILIARIA, S.L.",2.142 €/m²,225.000 €,105 m²,https://www.pisos.com/comprar/piso-progres_25_de_setembre-50891477291_139800/,Anuncio actualizado el 18/02/2025,"E, E","E, E",valles_occidental_sud (BCN),105 m²,4,1,2ª,En buen estado,1398-6957C,N/A,,98 m²,2 dormitorios y salón,Entre 30 y 50 años,Entre 20 y 40 €,Cerezo,Terrazo,Aluminio,N/A,,Gas natural,Con lavadero,18m²,N/A,N/A,Sureste,,,,N/A,,,,,,,,,,Mañanas,N/A,,N/A,,"2 dormitorios , cocina y baño",,,,,
"Piso en Carrer de Victoria dels Àngels, 2",LA LLAVE DE ORO,2.374 €/m²,349.000 €,147 m²,https://www.pisos.com/comprar/piso-mas_rampinyo_carrerada_mas_pomada-5129847486_109700/,Anuncio actualizado el 17/01/2025,"A, A","A, A",valles_occidental_sud (BCN),147 m²,4,2,Bajo,A estrenar,4993346-0,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle Parc de L'alba,  S/N",CULMIA,4.896 €/m²,308.500 €,63 m²,https://www.pisos.com/comprar/piso-plana_del_castell_montflorit08290-5190182281_109700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),63 m²,1,1,Bajo,A estrenar,-PR01241,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,
"Piso en Carrer de Sant Pere, 72",Moran &Sender,2.865 €/m²,235.000 €,82 m²,https://www.pisos.com/comprar/piso-rubi_centre-50859775530_519629/,Anuncio actualizado el 13/02/2025,"A, A","A, A",valles_occidental_sud (BCN),82 m²,2,2,Bajo,A estrenar,4519629-VR1669,,,59 m²,N/A,Menos de 5 años,,Madera lacada blanca,Parquet sintètico,Aluminio,,Frío y calor,Aerotermia,,,,,Noreste,1,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer d'Hipatia,Neinor Homes,2.582 €/m²,550.000 €,213 m²,https://www.pisos.com/comprar/casa-mercat-50008959356_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),213 m²,4,4,,A estrenar,-6210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Calderón de la Barca,"ONE EXPERTOS GESTION INMOBILIARIA, S.L.",2.857 €/m²,320.000 €,112 m²,https://www.pisos.com/comprar/piso-mercat-49176006236_139800/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_sud (BCN),112 m²,3,2,1ª,En buen estado,1398-6955A,N/A,,102 m²,Todo,Entre 10 y 20 años,Entre 40 y 60 €,Roble,Parquet,Aluminio,,,Gas natural,Grande,25m,,N/A,Este,1,,Más de 2,N/A,N/A,,,,,,Opcional,Comunitario,,,,,N/A,,Baños,,,,,
"Piso en Plaça de la Cerdanya, 3","ONE EXPERTOS GESTION INMOBILIARIA, S.L.",2.142 €/m²,225.000 €,105 m²,https://www.pisos.com/comprar/piso-progres_25_de_setembre-50042452718_139800/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_sud (BCN),105 m²,4,1,2ª,En buen estado,1398-6957,N/A,,98 m²,2 dormitorios y salón,Entre 30 y 50 años,Entre 20 y 40 €,Cerezo,Terrazo,Aluminio,N/A,,Gas natural,Con lavadero,18m²,N/A,N/A,Sureste,,,,N/A,,,,,,,,,,N/A,N/A,,N/A,N/A,"2 dormitorios , cocina y baño",,,,,
Casa adosada en Sant Quirze del Vallès,Engel & Völkers MMC Barcelona,2.376 €/m²,720.000 €,303 m²,https://www.pisos.com/comprar/casa_adosada-sant_quirze_del_valles_centro_urbano-4962514599_109700/,Anuncio actualizado el 18/02/2025,"A, A","A, A",valles_occidental_sud (BCN),303 m²,5,3,,A estrenar,IF76306-D-000LOJ,,N/A,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,Privado,,,,,,,,Adosada,,,,
Casa en Carrer dels Pous,CENTURY21 Ars,3.656 €/m²,490.000 €,134 m²,https://www.pisos.com/comprar/casa-sant_quirze_del_valles_centro_urbano-51738089176_992744/,Anuncio actualizado el 19/02/2025,"B, A","B, A",valles_occidental_sud (BCN),134 m²,3,3,,A estrenar,4992744-0169,,,100 m²,,,,,Parquet,Aluminio,,Frío y calor,Aerotermia,N/A,N/A,N/A,,,,,,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,,
Chalet en Carrer de la Verge de Montserrat,IMMOSAVALL,1.566 €/m²,398.000 €,254 m²,https://www.pisos.com/comprar/chalet-sant_quirze_del_valles_les_fonts-46671110196_520006/,Anuncio actualizado el 20/02/2025,"G, G","G, G",valles_occidental_sud (BCN),254 m²,5,3,,En buen estado,4520006-00301,,,184 m²,,Entre 30 y 50 años,,,Terrazo,,,,,,,,,Este,,Propia,2,,,N/A,N/A,N/A,,630 m²,,Privado,,,N/A,,,,,,,,,
Ático en Carrer de París,PARTICULAR Immobiliària Financera,2.431 €/m²,179.900 €,74 m²,https://www.pisos.com/comprar/atico-montcada_centre_la_ribera-49246070229_501175/,Anuncio actualizado el 20/02/2025,"F, E","F, E",valles_occidental_sud (BCN),74 m²,3,1,4ª,En buen estado,501175-002019,,,64 m²,N/A,Más de 50 años,Entre 20 y 40 €,Madera lacada en blanco,Terrazo,Aluminio,,Frío y calor,,N/A,N/A,,N/A,Sureste,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,
Chalet en Carrer de Cardedeu,Finques Aranda,1.875 €/m²,375.000 €,200 m²,https://www.pisos.com/comprar/chalet-sant_muc_castellnou_can_mir-45847393254_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),200 m²,4,4,,En buen estado,SA2651-105600940,,,,,Entre 20 y 30 años,,,,,,,,,,,,Norte,1,,,,,,,,,432 m²,,N/A,,,,,,,,,,,,
Casa en Carrer de Sant Isidre,INMOBILIARIA ARGEMI,863 €/m²,650.000 €,753 m²,https://www.pisos.com/comprar/casa-palau_solita_i_plegamans_centro_urbano-49210783993_516203/,Anuncio actualizado el 20/02/2025,"G, G","G, G",valles_occidental_sud (BCN),753 m²,4,1,,En buen estado,516203-60011404,,,360 m²,,Más de 50 años,,,Terrazo,Aluminio,,,Gasoil,N/A,N/A,,,Suroeste,Más de 2,,Más de 2,,,N/A,N/A,N/A,,2.097 m²,,Privado,,,,,,,,,,,,
Casa en El Castell,IMMOBILIàRIA FARNéS,1.247 €/m²,580.000 €,465 m²,https://www.pisos.com/comprar/casa-palau_solita_i_plegamans_centro_urbano-770826606_500554/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_sud (BCN),465 m²,7,4,,En buen estado,500554-000402,,25m²,460 m²,,Entre 30 y 50 años,,Embero,Gres/marbre,Fusta,N/A,,Gas natural,16m² roure,"2 70m² , 30m²)",N/A,,,2,,Más de 2,,,,,,,836 m²,,Privado,,,,N/A,,,,,,,,
"Piso en Carrer de Sant Pau, 92",PREMIER ESPAÑA,4.283 €/m²,257.000 €,60 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08201-5133790759_109700/,Anuncio actualizado el 07/02/2025,"A, A","A, A",valles_occidental_sud (BCN),60 m²,2,1,,A estrenar,4992912-21710148,N/A,N/A,,,,,,,,,Frío y calor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Palau-Solità I Plegamans,INMOBILIARIA ARGEMI,1.607 €/m²,775.000 €,482 m²,https://www.pisos.com/comprar/casa_unifamiliar-palau_solita_i_plegamans_centro_urbano-48366150337_516203/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),482 m²,7,4,,En buen estado,516203-60011396,,N/A,482 m²,,Entre 30 y 50 años,,,Gres,PVC,,Frío y calor,Gasoil,2,2,N/A,,Suroeste,Más de 2,,Más de 2,N/A,N/A,N/A,N/A,N/A,,720 m²,,Privado,,,,2,,,,Unifamiliar,,,,
Casa en Bellaterra,Coldwell Banker Premium Real Estate,2.453 €/m²,1.050.000 €,428 m²,https://www.pisos.com/comprar/casa-bellaterra_distrito08193-50884583986_106700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),428 m²,6,3,,,IFC76325-CBSC188,,,,,,,,,,,,,,,,,,,,,,,,,,,1.508 m²,,,,,,,,,,,,,,
Dúplex en calle Virgen de Fátima,"ONE EXPERTOS GESTION INMOBILIARIA, S.L.",3.246 €/m²,487.000 €,150 m²,https://www.pisos.com/comprar/duplex-mercat-49185782991_139800/,Anuncio actualizado el 20/02/2025,"D, D","D, D",valles_occidental_sud (BCN),150 m²,3,2,6ª,En buen estado,1398-6954,N/A,49 en la  planta de arriba,104 m²,Todo,Entre 20 y 30 años,Mas 30 fondo de reserva,Lacada blanca,Parquet,Aluminio,N/A,Frío,Gas natural,Officce,24,,N/A,Sureste,1,,2,N/A,N/A,,,,,,En terraza,,Rejas,N/A,N/A,,N/A,N/A,Baños,,N/A,,,
Casa en Valldoreix,Coldwell Banker Premium Real Estate,3.314 €/m²,1.150.000 €,347 m²,https://www.pisos.com/comprar/casa-sant_cugat_del_valles_valldoreix08197-45004055426_106700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),347 m²,6,4,,,IFC76325-CBSC130,,,,,Entre 10 y 20 años,,,,,,,,,,,,,,,,,,,,,,591 m²,,,,,,,,,,,,,,
"Piso en Carrer de Vidal, 48",CULMIA,2.248 €/m²,335.000 €,149 m²,https://www.pisos.com/comprar/piso-covadonga08202-4849926473_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),149 m²,4,2,,A estrenar,-PR00723,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Ca N´Oriac,TERRANOVALLAR,1.798 €/m²,138.500 €,77 m²,https://www.pisos.com/comprar/piso-ca_noriac08207-41749085231_100500/,Anuncio actualizado el 05/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),77 m²,3,1,3ª,,SA1579-TRNVAL-24001/6811,N/A,,70 m²,,Más de 50 años,Entre 20 y 40 €,,Gres,,,N/A,Gas natural,,,,,Este,,,1,,N/A,,,,N/A,,N/A,,,,,,,,,,,,,
Piso en Mediterráneo,PROMOCASA,1.627 €/m²,140.000 €,86 m²,https://www.pisos.com/comprar/piso-badia_del_valles_centro_urbano08214-49188847683_109300/,Anuncio actualizado el 20/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),86 m²,3,1,7ª,,EP889-1263,N/A,Cerrado,78 m²,N/A,,Entre 20 y 40 €,,,,,Frío y calor,Gas natural,7 m² conservada,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Piso en Carrer de Maragall,VILLAHERMOSA,2.400 €/m²,168.000 €,70 m²,https://www.pisos.com/comprar/piso-maragall-50864832252_993906/,Anuncio actualizado el 20/02/2025,"E, F","E, F",valles_occidental_sud (BCN),70 m²,3,1,3ª,En buen estado,4993906-1840,N/A,,65 m²,N/A,Entre 30 y 50 años,Entre 20 y 40 €,,,Aluminio,,Frío y calor,,10m²,18m²,,N/A,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,
"Chalet en calle calle Luthili 10, nº 10",Enrique José	SABORIT UREÑA,2.828 €/m²,990.000 €,350 m²,https://www.pisos.com/comprar/chalet-castellarnau08206-50930748322_108700/,Anuncio actualizado el 04/02/2025,"E, E","E, E",valles_occidental_sud (BCN),350 m²,4,3,,,UVC790-28750,,N/A,350 m²,,Entre 20 y 30 años,,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,2.057 m²,,N/A,,,,,,,,,,,,
"Dúplex en calle Virgen de Fátima, nº 15","ONE EXPERTOS GESTION INMOBILIARIA, S.L.",3.246 €/m²,487.000 €,150 m²,https://www.pisos.com/comprar/duplex-mercat-49171004080_139800/,Anuncio actualizado el 20/02/2025,"D, D","D, D",valles_occidental_sud (BCN),150 m²,3,2,6ª,En buen estado,1398-6954A,N/A,48.9 en la segunda planta,104 m²,Todo,Entre 20 y 30 años,Entre 80 y 100 €,Lacada blanca,Parquet,Aluminio,N/A,Frío,Gas natural,Officce,24,,N/A,A la montaña,1,,2,Climalit,N/A,,,,,,En terraza,,Rejas,Todo el dia,N/A,,N/A,N/A,Baños,,,,,
Dúplex en Centre,JLB Real Estate,1.954 €/m²,426.000 €,218 m²,https://www.pisos.com/comprar/duplex-rubi_centre-50067688500_106700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),218 m²,5,3,,,IFC76366-DUP_75,N/A,,170 m²,,Entre 30 y 50 años,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Can Clos-Els Pinetons,ASSESSORAMENT I GESTIO FINCAS ELMOLI,2.628 €/m²,439.000 €,167 m²,https://www.pisos.com/comprar/piso-can_clos_els_pinetons-29217772340_521602/,Anuncio actualizado el 18/02/2025,"E, D","E, D",valles_occidental_sud (BCN),167 m²,4,2,4ª,En buen estado,4521602-EDP-1,N/A,N/A,167 m²,N/A,Entre 20 y 30 años,,Roble,Parquet,Aluminio,N/A,Frío y calor,Gas natural,15 mts.,25 mts.,4 mts.,N/A,Sur,1,,Más de 2,N/A,N/A,,,,,,N/A,,,N/A,,,,N/A,,,,N/A,,
"Piso en Carrer dels Calders, 157",PREMIER ESPAÑA,3.105 €/m²,236.000 €,76 m²,https://www.pisos.com/comprar/piso-eixample_sant_oleguer08203-5257114719_109700/,Anuncio actualizado el 20/02/2025,"A, A","A, A",valles_occidental_sud (BCN),76 m²,2,1,,A estrenar,4992912-21799854,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer Major,FINQUES POLINYA,1.482 €/m²,415.000 €,280 m²,https://www.pisos.com/comprar/casa-polinya_centro_urbano-49170363033_501018/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),280 m²,3,3,,En buen estado,501018-3134,,Al lado de la cocina,246 m²,,Entre 20 y 30 años,,Roble claro,Gres,Aluminio,,Frío,Gas natural,"Grande 13,50 m²","Grande 27,50 m²",En planta sótano,,Casa a 4 vientos,Más de 2,,,N/A,,Zona esglèsia,Zona esglèsia,Casco antiguo de polinyà,,390 m²,,Privado,,,,,,,,,,,,
Ático en Carrer de Sebastià Garriga,Finques Aranda,3.189 €/m²,370.000 €,116 m²,https://www.pisos.com/comprar/atico-serraparrera08290-51757726803_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),116 m²,3,2,4ª,En buen estado,SA2651-106662531,N/A,,,N/A,Entre 20 y 30 años,,,,,,,,,,,N/A,,1,,,,,,,,,,,,,,,,,,,,,,,
