nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Referencia,Terraza,Jardín,Piscina,Planta,Exterior,Conservación,Gastos de comunidad,Tipo suelo,Aire acondicionado,Calefacción,Cocina equipada,Ascensor,Balcón,Orientación,Agua,Chimenea,Comedor,Garaje,Urbanizado,Puerta blindada,Trastero,Carpintería interior,Vidrios dobles,Carpintería exterior,Portero automático,Sistema de seguridad,Gas,Teléfono,Adaptado a personas con movilidad reducida,Soleado,Lavadero,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Armarios empotrados,Tipo de casa,No se aceptan mascotas,Interior,Amueblado,Luz
Casa en Carrer de Valls,Finques Pardas,659 €/m²,260.000 €,394 m²,https://www.pisos.com/comprar/casa-sant_llorenc_hortons_centro_urbano-9242958449_513967/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),394 m²,390 m²,243 m²,6,2,Más de 50 años,513967-C-0157,N/A,Privado,,,,Reformado,,Gres,Frío y calor,Eléctrica,N/A,,,,,N/A,N/A,2,N/A,,,N/A,,Madera,,,,,,,N/A,N/A,N/A,N/A,,,,,,
Piso en Carrer de Torres i Bages,Finques Pardas,2.337 €/m²,180.000 €,77 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-50085719122_513967/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),77 m²,70 m²,,2,1,Entre 10 y 20 años,513967-P-342,N/A,Comunitario,Comunitaria,Bajo,,En buen estado,Entre 60 y 80 €,Gres,Frío y calor,Gas natural,N/A,N/A,,Sur,,,N/A,1,,N/A,,N/A,N/A,Aluminio,N/A,N/A,N/A,N/A,N/A,,N/A,,,N/A,,,,,,
Casa en  La Font del Bosc,donpiso Central,1.428 €/m²,180.000 €,126 m²,https://www.pisos.com/comprar/casa-mediona_centro_urbano-46690319592_109100/,Anuncio actualizado el 20/02/2025,"E, E","E, E",alt_penedes (BCN),126 m²,78 m²,,3,1,,FE12-286040,,N/A,,,,,,Gres,,,,,,Norte,,,,,,,,,,Madera,,,Otra compañía,,,,,,,,,,,,,
Piso en Junto Iglesia Santa Maria,donpiso Central,2.978 €/m²,274.000 €,92 m²,https://www.pisos.com/comprar/piso-centre_vila-40858465530_109100/,Anuncio actualizado el 20/02/2025,"A, A","A, A",alt_penedes (BCN),92 m²,,,3,2,,FE38-278580,N/A,,,1ª,Exterior calle,,Más de 100 €,Parket,Con bomba de calor,,,N/A,,Norte,,,,,,,,,,Aluminio,,,Otra compañía,,,Por la mañana,,,,,,,,,,
Chalet en calle Font de L'atmetlló,MAYORCASA,2.141 €/m²,880.000 €,411 m²,https://www.pisos.com/comprar/chalet-olerdola_centro_urbano-44229190047_100500/,Anuncio actualizado el 28/05/2024,"E, E","E, E",alt_penedes (BCN),411 m²,400 m²,720 m²,6,6,,SA5335-104753504,N/A,N/A,N/A,,,,,,N/A,,,,,Sur,,,,1,,,N/A,,,,,,,,,,,,,,1,,,,,
Finca rústica en Font-Rubí,FINQUES SIP,1.229 €/m²,375.000 €,570 m²,https://www.pisos.com/comprar/finca_rustica-font_rubi_centro_urbano-50889970292_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),570 m²,400 m²,305 m²,6,2,,SA5343-10050/9669,N/A,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en En El Centro de La Población,donpiso Central,917 €/m²,155.000 €,169 m²,https://www.pisos.com/comprar/casa_adosada-sant_quinti_de_mediona_centro_urbano-44211009913_109100/,Anuncio actualizado el 20/02/2025,"E, E","E, E",alt_penedes (BCN),169 m²,,,4,1,,FE38-280730,N/A,,,,,,,Terrazo,Con bomba de calor,N/A,,,,Este,,,,,,,,,,Madera,,,Otra compañía,,,,,,,,,Adosada,,,,
Casa adosada en Barri  Can Batista,donpiso Central,1.666 €/m²,250.000 €,150 m²,https://www.pisos.com/comprar/casa_adosada-subirats_centro_urbano-50052324926_109100/,Anuncio actualizado el 20/02/2025,"F, E","F, E",alt_penedes (BCN),150 m²,110 m²,,2,1,,FE38-288726,N/A,,,,,,,Gres,,Eléctrica,,,,Este,,,,,,,N/A,,,Aluminio,,,Otra compañía,,,,,,,,,Adosada,,,,
Casa en Barri Bellver,FINQUES SIP,1.086 €/m²,189.000 €,174 m²,https://www.pisos.com/comprar/casa-vilobi_del_penedes_centro_urbano-44245737381_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),174 m²,132 m²,99 m²,5,2,Más de 50 años,SA5343-09695/9669,N/A,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle Carretera Can Costa 43, nº 43",Thibaut Montalat,1.167 €/m²,390.000 €,334 m²,https://www.pisos.com/comprar/chalet-olesa_de_bonesvalls_centro_urbano-50844807864_108700/,Anuncio actualizado el 19/02/2025,"E, E","E, E",alt_penedes (BCN),334 m²,334 m²,655 m²,4,3,Entre 30 y 50 años,UVC876-31302,N/A,N/A,N/A,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dúplex en Avinguda de Francesc Macià, 11",LA LLAVE DE ORO,2.556 €/m²,317.000 €,124 m²,https://www.pisos.com/comprar/duplex-sant_sadurni_anoia_centro_urbano-4845009359_109700/,Anuncio actualizado el 18/02/2025,"A, A","A, A",alt_penedes (BCN),124 m²,,,3,2,,4993346-21473810,,,,2ª,,A estrenar,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer d'El Papiol,ALARCON PROPIEDADES,2.286 €/m²,295.000 €,129 m²,https://www.pisos.com/comprar/duplex-barceloneta-30025968619_401700/,Anuncio actualizado el 17/02/2025,"F, E","F, E",alt_penedes (BCN),129 m²,121 m²,,3,3,Entre 30 y 50 años,4017-5219,N/A,,,Bajo,N/A,Reformado,60€/mes piso y 47€/trimestre pk,Parquet,Frío y calor,Gas natural,Exterior,,,,,,Amplio y con escalera interior de obra,2,,N/A,N/A,Madera cerezo,N/A,Madera,N/A,,N/A,,,N/A,"En garaje, planta sótano",,,,Más de 2,,N/A,,,
Chalet en calle Lledoners,Finques Pardas,868 €/m²,290.000 €,334 m²,https://www.pisos.com/comprar/chalet-subirats_centro_urbano-38409389793_513967/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),334 m²,324 m²,,7,4,Entre 20 y 30 años,513967-U-114,N/A,Privado,Propia,,,En buen estado,,Gres,,Gasoil,N/A,,,Suroeste,,,N/A,1,N/A,,,,,Aluminio,,,,N/A,,,N/A,N/A,N/A,N/A,,,,,,
Chalet en Valldemar,The Vila Home,2.240 €/m²,280.000 €,125 m²,https://www.pisos.com/comprar/chalet-castellet_i_la_gornal_centro_urbano-50906295308_100500/,Anuncio actualizado el 11/02/2025,"G, G","G, G",alt_penedes (BCN),125 m²,,673 m²,5,2,Entre 30 y 50 años,SA5464-TVH0090/10720,N/A,N/A,,,,,,Gres,,N/A,,,,Norte,,N/A,,,N/A,,,,,,,,,,,,,,,,1,,,,,
Dúplex en Barceloneta,Ribes Roig Serveis Immobiliaris,2.184 €/m²,260.000 €,119 m²,https://www.pisos.com/comprar/duplex-barceloneta-50888088511_109300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),119 m²,90 m²,,4,2,,EP924-2610,6 m² terraza salida comedor + 20 m² terraza planta segunda tipo solarium,,,3ª,,En buen estado,,,,,Con electrodomesticos,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Casa en Carrer del Raval,Finques Pardas,1.204 €/m²,500.000 €,415 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-38342519613_513967/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),415 m²,400 m²,,8,2,,513967-C-0130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Avinguda de Francesc Macià, 11",LA LLAVE DE ORO,3.338 €/m²,217.000 €,65 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-4356629899_109700/,Anuncio actualizado el 18/02/2025,"A, A","A, A",alt_penedes (BCN),65 m²,,,2,1,,4993346-21058514,,,,2ª,,A estrenar,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Carretera,Finques Pardas,1.296 €/m²,140.000 €,108 m²,https://www.pisos.com/comprar/piso-sant_pere_de_riudebitlles_centro_urbano-33417905698_513967/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),108 m²,100 m²,,4,2,Más de 50 años,513967-P-301,,,,2ª,N/A,Reformado,,Parquet,,Eléctrica,N/A,,,Suroeste,,,N/A,,,N/A,,N/A,N/A,Aluminio,,,N/A,,,N/A,N/A,,,N/A,,,,N/A,,
Casa en Carrer del Bosc,Finques Pardas,390 €/m²,80.000 €,205 m²,https://www.pisos.com/comprar/casa-torrelavit_centro_urbano-42575847672_513967/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),205 m²,161 m²,161 m²,,,Más de 50 años,513967-C-0201,,,,,,A reformar,,,,,,,,Sureste,,,,1,N/A,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,
Casa en Avenida Hermengildo,Finques Pardas,2.071 €/m²,290.000 €,140 m²,https://www.pisos.com/comprar/casa-gelida_centro_urbano-40881201973_513967/,Anuncio actualizado el 20/02/2025,"E, E","E, E",alt_penedes (BCN),140 m²,140 m²,,3,3,,513967-U-115,N/A,,,,,En buen estado,,N/A,,N/A,N/A,,,N/A,,,N/A,1,N/A,,,N/A,N/A,Aluminio,,,,,,,,N/A,N/A,,,,,,,
Piso en Centro,habitat Catalunya,2.396 €/m²,186.900 €,78 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-48427863473_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),78 m²,70 m²,,3,1,Más de 50 años,SA828-01099/3799,N/A,,,1ª,,,,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Chalet en El Grandet,URBEFINQUES ROSANES,1.409 €/m²,310.000 €,220 m²,https://www.pisos.com/comprar/chalet-sant_llorenc_hortons_centro_urbano-47583831252_100500/,Anuncio actualizado el 21/01/2025,"G, G","G, G",alt_penedes (BCN),220 m²,209 m²,570 m²,4,2,Más de 50 años,SA376-VSTLLH-1295/3191,N/A,N/A,Propia,,,,,Gres,,N/A,,,,,N/A,,N/A,1,N/A,,,,,,,N/A,,,,,,,,,,,,,,
Piso en Altra Banda,habitat Catalunya,2.816 €/m²,138.000 €,49 m²,https://www.pisos.com/comprar/piso-sant_pere_de_riudebitlles_centro_urbano-51726511535_100500/,Anuncio actualizado el 19/02/2025,"G, E","G, E",alt_penedes (BCN),49 m²,41 m²,,2,1,Entre 20 y 30 años,SA828-01120/3799,N/A,,,Bajo,,,,Gres,,,,N/A,,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Sant Elies,Viven Inmobiliaria,2.470 €/m²,210.000 €,85 m²,https://www.pisos.com/comprar/casa-mediona_centro_urbano-49230253527_100500/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),85 m²,80 m²,2.000 m²,4,1,,SA1672-1034/6926,N/A,N/A,Propia,,,,,,,N/A,,,,,,N/A,,1,N/A,,N/A,,,,,,,,,,,,,,,,,,,
"Casa en calle Carrer Puigcigros, nº 2",UN SOMNI X M2,1.777 €/m²,295.000 €,166 m²,https://www.pisos.com/comprar/casa-sant_cugat_sesgarrigues_centro_urbano-50916838231_103800/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),166 m²,131 m²,120 m²,4,3,,INB577-PUIGSIGRÓSANTCUGAT,N/A,N/A,,,,A estrenar,,,N/A,N/A,N/A,,,A la montaña,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Casa adosada en calle Entesa,FINQUES MEZCUA,2.348 €/m²,293.500 €,125 m²,https://www.pisos.com/comprar/casa_adosada-castellet_i_la_gornal_centro_urbano-50894456943_100500/,Anuncio actualizado el 17/02/2025,"A, A","A, A",alt_penedes (BCN),125 m²,117 m²,,4,3,Menos de 5 años,SA2917-VM100773-09/8208,N/A,N/A,Propia,,,,,Gres,N/A,,,,,,N/A,,N/A,,,,,,,,,,,N/A,,,,,,,,Adosada,,,,
Casa adosada en Centro Urbano 85,habitat Catalunya,1.368 €/m²,349.000 €,255 m²,https://www.pisos.com/comprar/casa_adosada-sant_sadurni_anoia_centro_urbano-49200897234_100500/,Anuncio actualizado el 19/02/2025,"F, F","F, F",alt_penedes (BCN),255 m²,125 m²,110 m²,4,2,Más de 50 años,SA828-01110/3799,N/A,N/A,,,,,,,,N/A,,,,Norte,N/A,,N/A,1,,,N/A,,,,,N/A,,,,,,,,,,Adosada,,,,
Piso en Santa Margarida i Els Monjos,OWL SERVEIS IMMOBILIARIS SQV,978 €/m²,90.000 €,92 m²,https://www.pisos.com/comprar/piso-santa_margarida_i_els_monjos_centro_urbano-50907645184_101300/,Anuncio actualizado el 20/02/2025,"E, E","E, E",alt_penedes (BCN),92 m²,79 m²,,,,Más de 50 años,API152-A12765,,,,,,,,,,,,,,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en L´Arboçar,habitat Catalunya,1.413 €/m²,530.000 €,375 m²,https://www.pisos.com/comprar/chalet-arbocar-45902654490_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",alt_penedes (BCN),375 m²,191 m²,802 m²,4,3,Entre 20 y 30 años,SA828-01083/3799,N/A,N/A,Propia,,,,,,,N/A,,,,Este,N/A,N/A,N/A,1,N/A,N/A,N/A,,,,,N/A,,,,,,,,,1,,,,,
Piso en Avenida Torrelles de Foix,MONJE I CABRÉ,1.973 €/m²,148.000 €,75 m²,https://www.pisos.com/comprar/piso-les_clotes-50095649022_101300/,Anuncio actualizado el 07/01/2025,"F, G","F, G",alt_penedes (BCN),75 m²,73 m²,,3,1,,API274-PVILTOR184,,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,
Chalet en Valldemar,FINQUES ESTEVE - Segur de Calafell,1.004 €/m²,240.000 €,239 m²,https://www.pisos.com/comprar/chalet-castellet_i_la_gornal_centro_urbano-51689935330_100500/,Anuncio actualizado el 18/02/2025,"D, D","D, D",alt_penedes (BCN),239 m²,200 m²,676 m²,4,2,Entre 30 y 50 años,SA1945-0060-26/1417,N/A,N/A,Propia,,,,,Terrazo,,Eléctrica,,,,Sur,N/A,N/A,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
Chalet en Alto Penedés,Enrique SALINAS PEÑA,3.200 €/m²,480.000 €,150 m²,https://www.pisos.com/comprar/chalet-la_granada_centro_urbano-51685019290_108700/,Anuncio actualizado el 19/02/2025,"E, E","E, E",alt_penedes (BCN),150 m²,150 m²,399 m²,4,2,,UVC749-32125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en Vilobí del Penedès,FINQUES MONTMAR,277 €/m²,565.000 €,217 m²,https://www.pisos.com/comprar/finca_rustica-vilobi_del_penedes_centro_urbano-48381181632_100500/,Anuncio actualizado el 17/02/2025,"G, G","G, G",alt_penedes (BCN),217 m²,176 m²,2.034 m²,4,2,,SA2365-M1656/5393,N/A,,,,,,,,,Gas natural,,,,Sur,N/A,N/A,N/A,1,,,,,,,,N/A,,N/A,,,,,,,,,,,,
Piso en Centro,habitat Catalunya,2.527 €/m²,230.000 €,91 m²,https://www.pisos.com/comprar/piso-gelida_centro_urbano-51764920484_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",alt_penedes (BCN),91 m²,76 m²,,3,2,Entre 10 y 20 años,SA828-01119/3799,N/A,,,3ª,,,,,N/A,N/A,,N/A,N/A,Sur,,,N/A,,,,,,,,,,,,,,,,,,1,,,,,
Chalet en La Gornal,Alemany Real Estate,1.727 €/m²,285.000 €,165 m²,https://www.pisos.com/comprar/chalet-castellet_i_la_gornal_centro_urbano-20098736556_100500/,Anuncio actualizado el 17/02/2025,"D, D","D, D",alt_penedes (BCN),165 m²,140 m²,4.100 m²,4,3,,SA1889-A01311/5298,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Chalet en Baix Penedès,Eva María MANGADO LOPEZ,2.125 €/m²,595.000 €,280 m²,https://www.pisos.com/comprar/chalet-castellet_i_la_gornal_centro_urbano-50012439363_108700/,Anuncio actualizado el 19/02/2025,"E, D","E, D",alt_penedes (BCN),280 m²,280 m²,700 m²,4,2,,UVC770-30658,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en Sant Martí Sarroca,FINQUES MONTMAR,11 €/m²,970.000 €,852 m²,https://www.pisos.com/comprar/finca_rustica-sant_marti_sarroca_centro_urbano-45908878400_100500/,Anuncio actualizado el 03/12/2024,"E, E","E, E",alt_penedes (BCN),852 m²,326 m²,88.000 m²,11,4,,SA2365-M1646/5393,N/A,,,,,,,,,,,,,Suroeste,N/A,N/A,N/A,1,,,,,,,,N/A,,N/A,,,,,,,,,,,,
Finca rústica en Castellet i la Gornal,Durán Carasso,Error al procesar precio m²,2.200.000 €,4.390.000 m²,https://www.pisos.com/comprar/finca_rustica-castellet_i_la_gornal_centro_urbano-44265292285_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),,,4.390.000 m²,,,,BM201-5543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Sant Martí Sarroca,MONJE I CABRÉ,2.888 €/m²,858.000 €,297 m²,https://www.pisos.com/comprar/casa-sant_marti_sarroca_centro_urbano-50088079123_101300/,Anuncio actualizado el 12/12/2024,"E, F","E, F",alt_penedes (BCN),297 m²,290 m²,,3,2,Entre 5 y 10 años,API274-XSANHOS189,,,,,,,,,,N/A,,,,4 vientos,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,
Casa en Martivell,Viven Inmobiliaria,1.317 €/m²,340.000 €,258 m²,https://www.pisos.com/comprar/casa-gelida_centro_urbano-50920437813_100500/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),258 m²,160 m²,452 m²,4,2,Entre 20 y 30 años,SA1672-1050/6926,N/A,,,,,,,,,N/A,,,,,,,,1,,N/A,,,,,,,,,,,,,,,,,,,,
Casa en Castellet i la Gornal,Durán Carasso,1.674 €/m²,2.200.000 €,1.314 m²,https://www.pisos.com/comprar/casa-castellet_i_la_gornal_centro_urbano-51667984401_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),1.314 m²,,150.000 m²,12,3,,BM201-5580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Molí d'en Rovira,Ribes Roig Serveis Immobiliaris,2.378 €/m²,245.000 €,103 m²,https://www.pisos.com/comprar/piso-moli_en_rovira-45059753963_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),103 m²,90 m²,,3,2,,EP924-2529,N/A,,Comunitaria,3ª,N/A,En buen estado,,,,,N/A,N/A,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Casa en El Grandet,habitat Catalunya,1.456 €/m²,335.000 €,230 m²,https://www.pisos.com/comprar/casa-sant_llorenc_hortons_centro_urbano-50922833557_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),230 m²,140 m²,600 m²,5,2,Entre 20 y 30 años,SA828-01117/3799,,N/A,N/A,,,,,Gres,,,,,,Norte,,N/A,N/A,1,N/A,,N/A,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Gavà,Ribes Roig Serveis Immobiliaris,1.363 €/m²,450.000 €,330 m²,https://www.pisos.com/comprar/casa-olerdola_centro_urbano-40075769193_109300/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),330 m²,240 m²,,5,2,,EP924-2184,,Comunitario,Propia,,,En buen estado,,,,,N/A,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en Castellví de la Marca,HAPPY EXPAT homes & more,33 €/m²,1.350.000 €,600 m²,https://www.pisos.com/comprar/finca_rustica-castellvi_de_la_marca_centro_urbano-43415196170_108900/,Anuncio actualizado el 13/02/2025,"E, E","E, E",alt_penedes (BCN),600 m²,200 m²,40.000 m²,4,3,,XA784-Finca las Perdices,N/A,,Yes,,,,,,Yes,Yes,N/A,,,,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Alto Penedés,Miriam ALMANSA,2.171 €/m²,139.000 €,64 m²,https://www.pisos.com/comprar/piso-sant_quinti_de_mediona_centro_urbano-50864038154_108700/,Anuncio actualizado el 23/01/2025,"E, E","E, E",alt_penedes (BCN),64 m²,64 m²,,3,2,Entre 20 y 30 años,UVC259-31049,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en El Pla del Penedès,Alfa pisos i casas Anoia,1.683 €/m²,170.000 €,101 m²,https://www.pisos.com/comprar/duplex-el_pla_del_penedes_centro_urbano-45851535568_101000/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),101 m²,,,3,2,,AF216-2322/44,,,N/A,,N/A,,,,Frío,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
